service_line,rule_code,rule_title,batch,case,combined,blocker_proof
"COLPOSCOPY","COL-018","Post-treatment HPV 16/18 — abnormal cytology (non-cancer)","not_producible","shadowed","shadowed in every pipeline","COL-018 requires Post-treatment assessment + HPV 16/18; requires one of (ASC-US / LSIL / HSIL / ASC-H / Glandular abnormality). COL-004 requires one of (HPV 16/18). Every legal input satisfying COL-018 therefore also satisfies COL-004. COL-004 precedes COL-018 in the ordered list. No exclusion available to COL-018 can falsify COL-004. Therefore COL-018 can never win."
"COLPOSCOPY","COL-019","Post-treatment HPV Other — abnormal cytology","not_producible","reachable","case-only (unreachable in batch pipeline)",""
"COLPOSCOPY","COL-020","HPV surveillance 16/18 — abnormal cytology","not_producible","shadowed","shadowed in every pipeline","COL-020 requires HPV surveillance + HPV 16/18; requires one of (ASC-US / LSIL / HSIL / ASC-H / Glandular abnormality). COL-004 requires one of (HPV 16/18). Every legal input satisfying COL-020 therefore also satisfies COL-004. COL-004 precedes COL-020 in the ordered list. No exclusion available to COL-020 can falsify COL-004. Therefore COL-020 can never win."
"COLPOSCOPY","COL-021","HPV Other surveillance — abnormal cytology","not_producible","shadowed","shadowed in every pipeline","COL-021 requires HPV surveillance + HPV Other; requires one of (ASC-H / HSIL / Glandular abnormality). COL-016 requires HPV Other; requires one of (ASC-H / HSIL / Glandular abnormality). Every legal input satisfying COL-021 therefore also satisfies COL-016. COL-016 precedes COL-021 in the ordered list. No exclusion available to COL-021 can falsify COL-016. Therefore COL-021 can never win."
"COLPOSCOPY","COL-031","HPV not detected with high-grade or glandular cytology — symptomatic","reachable","not_producible","batch-only (unreachable in case pipeline)",""
"COLPOSCOPY","COL-005","Second HPV Other — no cytology or normal/low-grade","reachable","reachable","reachable in both",""
"COLPOSCOPY","COL-022","Endorsed referred on colposcopy","not_producible","reachable","case-only (unreachable in batch pipeline)",""
"COLPOSCOPY","COL-023","Post-treatment HPV 16/18 — normal or low-grade cytology","not_producible","shadowed","shadowed in every pipeline","COL-023 requires Post-treatment assessment + HPV 16/18; requires absence of Cancer suspicion cytology, HSIL, ASC-H, Glandular abnormality. COL-004 requires one of (HPV 16/18). Every legal input satisfying COL-023 therefore also satisfies COL-004. COL-004 precedes COL-023 in the ordered list. No exclusion available to COL-023 can falsify COL-004. Therefore COL-023 can never win."
"COLPOSCOPY","COL-024","HPV surveillance — normal or low-grade cytology","not_producible","reachable","case-only (unreachable in batch pipeline)",""
"COLPOSCOPY","COL-007","Routine low-grade colposcopy trigger (HPV Other, LSIL)","reachable","reachable","reachable in both",""
"COLPOSCOPY","COL-034","Third HPV Other — normal or low-grade cytology","not_producible","not_producible","operationally unreachable in both",""
"COLPOSCOPY","COL-040","Previous LSIL histology re-referral — HPV 16/18, no cytology","shadowed","not_producible","shadowed in every pipeline","COL-040 requires Previous LSIL histology + HPV 16/18; requires absence of Cancer suspicion cytology, HSIL, ASC-H, Glandular abnormality, ASC-US, LSIL, Normal cytology. COL-004 requires one of (HPV 16/18). Every legal input satisfying COL-040 therefore also satisfies COL-004. COL-004 precedes COL-040 in the ordered list. No exclusion available to COL-040 can falsify COL-004. Therefore COL-040 can never win."
"COLPOSCOPY","COL-025","HPV Other surveillance — low-grade or normal cytology (long-cycle)","not_producible","shadowed","shadowed in every pipeline","COL-025 requires HPV surveillance + HPV Other; requires absence of Cancer suspicion cytology, HSIL, ASC-H, Glandular abnormality. COL-024 requires HPV surveillance; requires absence of Cancer suspicion cytology, HSIL, ASC-H, Glandular abnormality. Every legal input satisfying COL-025 therefore also satisfies COL-024. COL-024 precedes COL-025 in the ordered list. No exclusion available to COL-025 can falsify COL-024. Therefore COL-025 can never win."
"COLPOSCOPY","COL-035","Previous normal colposcopy re-referral — HPV 16/18, no cytology","shadowed","not_producible","shadowed in every pipeline","COL-035 requires Previous normal colposcopy + HPV 16/18; requires absence of Cancer suspicion cytology, HSIL, ASC-H, Glandular abnormality, ASC-US, LSIL, Normal cytology. COL-004 requires one of (HPV 16/18). Every legal input satisfying COL-035 therefore also satisfies COL-004. COL-004 precedes COL-035 in the ordered list. No exclusion available to COL-035 can falsify COL-004. Therefore COL-035 can never win."
"COLPOSCOPY","COL-036","Previous normal colposcopy re-referral — HPV 16/18, normal or low-grade cytology","shadowed","not_producible","shadowed in every pipeline","COL-036 requires Previous normal colposcopy + HPV 16/18; requires one of (Normal cytology / ASC-US / LSIL); requires absence of Cancer suspicion cytology, HSIL, ASC-H, Glandular abnormality. COL-004 requires one of (HPV 16/18). Every legal input satisfying COL-036 therefore also satisfies COL-004. COL-004 precedes COL-036 in the ordered list. No exclusion available to COL-036 can falsify COL-004. Therefore COL-036 can never win."
"COLPOSCOPY","COL-037","Previous normal colposcopy re-referral — immune-deficient HPV Other","shadowed","not_producible","shadowed in every pipeline","COL-037 requires Previous normal colposcopy + HPV Other + Immune deficient; requires absence of Cancer suspicion cytology, HSIL, ASC-H, Glandular abnormality. COL-017 requires HPV Other + Immune deficient. Every legal input satisfying COL-037 therefore also satisfies COL-017. COL-017 precedes COL-037 in the ordered list. No exclusion available to COL-037 can falsify COL-017. Therefore COL-037 can never win."
"COLPOSCOPY","COL-038","Previous normal colposcopy re-referral — HPV Other, repeat normal or low-grade cytology","shadowed","not_producible","shadowed in every pipeline","COL-038 requires Previous normal colposcopy + HPV Other; requires one of (Normal cytology / ASC-US / LSIL / Repeat ASCUS/LSIL); requires absence of Cancer suspicion cytology, HSIL, ASC-H, Glandular abnormality, Immune deficient. COL-007 requires one of (LSIL / HPV Other). Every legal input satisfying COL-038 therefore also satisfies COL-007. COL-007 precedes COL-038 in the ordered list. No exclusion available to COL-038 can falsify COL-007. Therefore COL-038 can never win."
"COLPOSCOPY","COL-039","Previous normal colposcopy re-referral — HPV Other, repeat no cytology","not_producible","not_producible","operationally unreachable in both",""
"COLPOSCOPY","COL-041","Previous LSIL histology re-referral — HPV 16/18, normal or low-grade cytology","shadowed","not_producible","shadowed in every pipeline","COL-041 requires Previous LSIL histology + HPV 16/18; requires one of (Normal cytology / ASC-US / LSIL); requires absence of Cancer suspicion cytology, HSIL, ASC-H, Glandular abnormality. COL-004 requires one of (HPV 16/18). Every legal input satisfying COL-041 therefore also satisfies COL-004. COL-004 precedes COL-041 in the ordered list. No exclusion available to COL-041 can falsify COL-004. Therefore COL-041 can never win."
"COLPOSCOPY","COL-042","Previous LSIL histology re-referral — immune-deficient HPV Other","shadowed","not_producible","shadowed in every pipeline","COL-042 requires Previous LSIL histology + HPV Other + Immune deficient; requires absence of Cancer suspicion cytology, HSIL, ASC-H, Glandular abnormality. COL-017 requires HPV Other + Immune deficient. Every legal input satisfying COL-042 therefore also satisfies COL-017. COL-017 precedes COL-042 in the ordered list. No exclusion available to COL-042 can falsify COL-017. Therefore COL-042 can never win."
"COLPOSCOPY","COL-043","Previous LSIL histology re-referral — HPV Other, repeat normal or low-grade cytology","shadowed","not_producible","shadowed in every pipeline","COL-043 requires Previous LSIL histology + HPV Other; requires one of (Normal cytology / ASC-US / LSIL / Repeat ASCUS/LSIL); requires absence of Cancer suspicion cytology, HSIL, ASC-H, Glandular abnormality, Immune deficient. COL-007 requires one of (LSIL / HPV Other). Every legal input satisfying COL-043 therefore also satisfies COL-007. COL-007 precedes COL-043 in the ordered list. No exclusion available to COL-043 can falsify COL-007. Therefore COL-043 can never win."
"COLPOSCOPY","COL-044","Previous LSIL histology re-referral — HPV Other, repeat no cytology","not_producible","not_producible","operationally unreachable in both",""
"COLPOSCOPY","COL-026","Other clinical assessment","not_producible","reachable","case-only (unreachable in batch pipeline)",""
"GYNAECOLOGY","GYN-001","High suspicion cancer","n/a","reachable","reachable (case pipeline only applies)",""
"GYNAECOLOGY","GYN-002","Postmenopausal bleeding without ultrasound","n/a","reachable","reachable (case pipeline only applies)",""
"GYNAECOLOGY","GYN-003","Postmenopausal bleeding with thickened endometrium","n/a","reachable","reachable (case pipeline only applies)",""
"GYNAECOLOGY","GYN-004","Recurrent postmenopausal bleeding despite low endometrial thickness","n/a","reachable","reachable (case pipeline only applies)",""
"GYNAECOLOGY","GYN-005","Adnexal/ovarian concern with elevated CA-125","n/a","reachable","reachable (case pipeline only applies)",""
"GYNAECOLOGY","GYN-026","Complex adnexal mass — SMO-only pathway","n/a","reachable","reachable (case pipeline only applies)",""
"GYNAECOLOGY","GYN-006","Pelvic pain without ultrasound","n/a","reachable","reachable (case pipeline only applies)",""
"GYNAECOLOGY","GYN-007","Large fibroids with mass symptoms","n/a","reachable","reachable (case pipeline only applies)",""
"GYNAECOLOGY","GYN-008","Small fibroids with mass symptoms","n/a","reachable","reachable (case pipeline only applies)",""
"GYNAECOLOGY","GYN-033","Asymptomatic fibroids without AUB","n/a","reachable","reachable (case pipeline only applies)",""
"GYNAECOLOGY","GYN-013","Abnormal uterine bleeding without ultrasound","n/a","reachable","reachable (case pipeline only applies)",""
"GYNAECOLOGY","GYN-014","Abnormal uterine bleeding with markedly thickened endometrium","n/a","reachable","reachable (case pipeline only applies)",""
"GYNAECOLOGY","GYN-015","Persistent abnormal uterine bleeding after medical management","n/a","reachable","reachable (case pipeline only applies)",""
"GYNAECOLOGY","GYN-022","AUB with USS polyp finding","n/a","reachable","reachable (case pipeline only applies)",""
"GYNAECOLOGY","GYN-023","Endometrioma >= 5 cm with normal tumour markers","n/a","reachable","reachable (case pipeline only applies)",""
"GYNAECOLOGY","GYN-024","Deep infiltrating endometriosis on imaging","n/a","reachable","reachable (case pipeline only applies)",""
"GYNAECOLOGY","GYN-025","Recurrent endometriosis with normal scan","n/a","reachable","reachable (case pipeline only applies)",""
"GYNAECOLOGY","GYN-016","Procidentia","n/a","reachable","reachable (case pipeline only applies)",""
"GYNAECOLOGY","GYN-028","Prolapse with urinary retention or hydronephrosis","n/a","reachable","reachable (case pipeline only applies)",""
"GYNAECOLOGY","GYN-027","Symptomatic prolapse (non-procidentia)","n/a","reachable","reachable (case pipeline only applies)",""
"GYNAECOLOGY","GYN-029","Stress urinary incontinence without prior physiotherapy","n/a","reachable","reachable (case pipeline only applies)",""
"GYNAECOLOGY","GYN-030","Urge incontinence without medication trial","n/a","reachable","reachable (case pipeline only applies)",""
"GYNAECOLOGY","GYN-017","Recurrent urogynaecology symptoms","n/a","reachable","reachable (case pipeline only applies)",""
"GYNAECOLOGY","GYN-018","Mesh related problem","n/a","reachable","reachable (case pipeline only applies)",""
"GYNAECOLOGY","GYN-019","Asymptomatic prolapse","n/a","reachable","reachable (case pipeline only applies)",""
"GYNAECOLOGY","GYN-031","Paediatric gynaecology referral","n/a","reachable","reachable (case pipeline only applies)",""
"GYNAECOLOGY","GYN-032","Obstetric pelvic tear grade 3B, 3C, or 4th degree","n/a","reachable","reachable (case pipeline only applies)",""
"GYNAECOLOGY","GYN-020","Small asymptomatic cervical polyp with normal smear","n/a","reachable","reachable (case pipeline only applies)",""
"GYNAECOLOGY","GYN-021","Symptomatic larger cervical polyp with normal smear","n/a","reachable","reachable (case pipeline only applies)",""
"GYNAECOLOGY","GYN-009","PCOS virtual clinic pathway","n/a","reachable","reachable (case pipeline only applies)",""
"GYNAECOLOGY","GYN-010","Fertility referral diversion","n/a","reachable","reachable (case pipeline only applies)",""
"GYNAECOLOGY","GYN-011","Tubal ligation counselling","n/a","reachable","reachable (case pipeline only applies)",""
"GYNAECOLOGY","GYN-034","Postmenopausal bleeding — single episode, endometrial thickness below 5mm","n/a","reachable","reachable (case pipeline only applies)",""
"GYNAECOLOGY","GYN-035","TVT or sling complication","n/a","not_producible","operationally unreachable",""
"GYNAECOLOGY","GYN-036","Intermenstrual bleeding with reassuring investigations","n/a","reachable","reachable (case pipeline only applies)",""
"GYNAECOLOGY","GYN-037","AUB — normal USS, no prior medical management","n/a","reachable","reachable (case pipeline only applies)",""
"GYNAECOLOGY","GYN-038","Re-grading required — new clinical information received","n/a","not_producible","operationally unreachable",""
"GYNAECOLOGY","GYN-012","Routine gynaecology symptom bundle","n/a","reachable","reachable (case pipeline only applies)",""
