service_line,rule_code,rule_title,classification,reachable_paths,intended_priority,intended_target_days,actual_priority,actual_target_days,actual_winning_rule,urgency_direction,example_facts,detail
"COLPOSCOPY","COL-022","Endorsed referred on colposcopy","REACHABLE","B_CASE","P3","90","P3","90","COL-022","unchanged","Endorsed referral on colposcopy","confirmed by the evaluator on path B_CASE"
"COLPOSCOPY","COL-023","Post-treatment HPV 16/18 — normal or low-grade cytology","SHADOWED","","P3","90","P2","30","COL-004","increases","Post-treatment assessment; HPV 16/18","satisfiable, but COL-004 always matches first"
"COLPOSCOPY","COL-024","HPV surveillance — normal or low-grade cytology","REACHABLE","B_CASE","P3","90","P3","90","COL-024","unchanged","HPV surveillance","confirmed by the evaluator on path B_CASE"
"COLPOSCOPY","COL-007","Routine low-grade colposcopy trigger (HPV Other, LSIL)","REACHABLE","A_BATCH + B_CASE","P3","90","P3","90","COL-007","unchanged","LSIL","confirmed by the evaluator on path A_BATCH + B_CASE"
"COLPOSCOPY","COL-034","Third HPV Other — normal or low-grade cytology","OPERATIONALLY_UNREACHABLE","","P3","180","n/a — never evaluated","n/a","n/a","n/a","","pipeline cannot emit required label(s): Third HPV positive result"
"COLPOSCOPY","COL-040","Previous LSIL histology re-referral — HPV 16/18, no cytology","SHADOWED","","P3","90","P2","30","COL-004","increases","Previous LSIL histology; HPV 16/18","satisfiable, but COL-004 always matches first"
"COLPOSCOPY","COL-025","HPV Other surveillance — low-grade or normal cytology (long-cycle)","SHADOWED","","P3","180","P3","90","COL-024","increases","HPV surveillance; HPV Other","satisfiable, but COL-024 always matches first"
"COLPOSCOPY","COL-035","Previous normal colposcopy re-referral — HPV 16/18, no cytology","SHADOWED","","P3","180","P2","30","COL-004","increases","Previous normal colposcopy; HPV 16/18","satisfiable, but COL-004 always matches first"
"COLPOSCOPY","COL-036","Previous normal colposcopy re-referral — HPV 16/18, normal or low-grade cytology","SHADOWED","","P3","180","P2","30","COL-004","increases","Previous normal colposcopy; HPV 16/18; Normal cytology","satisfiable, but COL-004 always matches first"
"COLPOSCOPY","COL-037","Previous normal colposcopy re-referral — immune-deficient HPV Other","SHADOWED","","P3","180","P3","90","COL-027","increases","Previous normal colposcopy; HPV Other; Immune deficient","satisfiable, but COL-027 always matches first"
"COLPOSCOPY","COL-038","Previous normal colposcopy re-referral — HPV Other, repeat normal or low-grade cytology","SHADOWED","","P3","180","P3","90","COL-007","increases","Previous normal colposcopy; HPV Other; Normal cytology","satisfiable, but COL-007 always matches first"
"COLPOSCOPY","COL-039","Previous normal colposcopy re-referral — HPV Other, repeat no cytology","OPERATIONALLY_UNREACHABLE","","P3","180","n/a — never evaluated","n/a","n/a","n/a","","pipeline cannot emit any of: Repeat no cytology"
"COLPOSCOPY","COL-041","Previous LSIL histology re-referral — HPV 16/18, normal or low-grade cytology","SHADOWED","","P3","180","P2","30","COL-004","increases","Previous LSIL histology; HPV 16/18; Normal cytology","satisfiable, but COL-004 always matches first"
"COLPOSCOPY","COL-042","Previous LSIL histology re-referral — immune-deficient HPV Other","SHADOWED","","P3","180","P3","90","COL-027","increases","Previous LSIL histology; HPV Other; Immune deficient","satisfiable, but COL-027 always matches first"
"COLPOSCOPY","COL-043","Previous LSIL histology re-referral — HPV Other, repeat normal or low-grade cytology","SHADOWED","","P3","180","P3","90","COL-007","increases","Previous LSIL histology; HPV Other; Normal cytology","satisfiable, but COL-007 always matches first"
"COLPOSCOPY","COL-044","Previous LSIL histology re-referral — HPV Other, repeat no cytology","OPERATIONALLY_UNREACHABLE","","P3","180","n/a — never evaluated","n/a","n/a","n/a","","pipeline cannot emit any of: Repeat no cytology"
"COLPOSCOPY","COL-026","Other clinical assessment","REACHABLE","B_CASE","P3","180","P3","180","COL-026","unchanged","Other clinical assessment","confirmed by the evaluator on path B_CASE"
"GYNAECOLOGY","GYN-001","High suspicion cancer","REACHABLE","A_BATCH + B_CASE","P1_HSC","14","P1_HSC","14","GYN-001","n/a","<highSuspicionCancer flag>","case flag rule; reachable whenever the high-suspicion flag is set"
"GYNAECOLOGY","GYN-002","Postmenopausal bleeding without ultrasound","REACHABLE","B_CASE","REJECT","—","REJECT","—","GYN-002","unchanged","Postmenopausal bleeding","confirmed by the evaluator on path B_CASE"
"GYNAECOLOGY","GYN-003","Postmenopausal bleeding with thickened endometrium","REACHABLE","B_CASE","P1_HSC","14","P1_HSC","14","GYN-003","unchanged","Postmenopausal bleeding; Endometrial thickness","confirmed by the evaluator on path B_CASE"
"GYNAECOLOGY","GYN-004","Recurrent postmenopausal bleeding despite low endometrial thickness","REACHABLE","B_CASE","P1_HSC","14","P1_HSC","14","GYN-004","unchanged","Postmenopausal bleeding; Multiple PMB episodes; Endometrial thickness","confirmed by the evaluator on path B_CASE"
"GYNAECOLOGY","GYN-005","Adnexal/ovarian concern with elevated CA-125","REACHABLE","B_CASE","P2_HSC","30","P2_HSC","30","GYN-005","unchanged","Ovarian cyst; CA-125","confirmed by the evaluator on path B_CASE"
"GYNAECOLOGY","GYN-026","Complex adnexal mass — SMO-only pathway","REACHABLE","B_CASE","P1_HSC","14","P1_HSC","14","GYN-026","unchanged","Complex adnexal mass","confirmed by the evaluator on path B_CASE"
"GYNAECOLOGY","GYN-006","Pelvic pain without ultrasound","REACHABLE","B_CASE","REJECT","—","REJECT","—","GYN-006","unchanged","Pelvic pain","confirmed by the evaluator on path B_CASE"
"GYNAECOLOGY","GYN-007","Large fibroids with mass symptoms","REACHABLE","B_CASE","P2","30","P2","30","GYN-007","unchanged","Fibroids; Mass symptoms; Fibroid size","confirmed by the evaluator on path B_CASE"
"GYNAECOLOGY","GYN-008","Small fibroids with mass symptoms","REACHABLE","B_CASE","P3","120","P3","120","GYN-008","unchanged","Fibroids; Mass symptoms; Fibroid size","confirmed by the evaluator on path B_CASE"
"GYNAECOLOGY","GYN-033","Asymptomatic fibroids without AUB","REACHABLE","B_CASE","DECLINE","—","DECLINE","—","GYN-033","unchanged","Fibroids; Fibroid size","confirmed by the evaluator on path B_CASE"
"GYNAECOLOGY","GYN-013","Abnormal uterine bleeding without ultrasound","REACHABLE","B_CASE","REJECT","—","REJECT","—","GYN-013","unchanged","Abnormal uterine bleeding","confirmed by the evaluator on path B_CASE"
"GYNAECOLOGY","GYN-014","Abnormal uterine bleeding with markedly thickened endometrium","REACHABLE","B_CASE","P2","30","P2","30","GYN-014","unchanged","Abnormal uterine bleeding; Ultrasound scan; Endometrial thickness","confirmed by the evaluator on path B_CASE"
"GYNAECOLOGY","GYN-015","Persistent abnormal uterine bleeding after medical management","REACHABLE","B_CASE","P3","120","P3","120","GYN-015","unchanged","Abnormal uterine bleeding; Persistent bleeding >3 months; Medical management trialled; Ultrasound scan; Endometrial thickness","confirmed by the evaluator on path B_CASE"
"GYNAECOLOGY","GYN-022","AUB with USS polyp finding","REACHABLE","B_CASE","P3","120","P3","120","GYN-022","unchanged","Abnormal uterine bleeding; Ultrasound scan; Uterine polyp on USS","confirmed by the evaluator on path B_CASE"
"GYNAECOLOGY","GYN-023","Endometrioma >= 5 cm with normal tumour markers","REACHABLE","B_CASE","P2","30","P2","30","GYN-023","unchanged","Pelvic pain; Ultrasound scan; Endometrioma; Endometrioma size","confirmed by the evaluator on path B_CASE"
"GYNAECOLOGY","GYN-024","Deep infiltrating endometriosis on imaging","REACHABLE","B_CASE","P2","30","P2","30","GYN-024","unchanged","Deep infiltrating endometriosis","confirmed by the evaluator on path B_CASE"
"GYNAECOLOGY","GYN-025","Recurrent endometriosis with normal scan","REACHABLE","B_CASE","P3","120","P3","120","GYN-025","unchanged","Pelvic pain; Ultrasound scan; Previous endometriosis","confirmed by the evaluator on path B_CASE"
"GYNAECOLOGY","GYN-016","Procidentia","REACHABLE","B_CASE","P2","30","P2","30","GYN-016","unchanged","Procidentia","confirmed by the evaluator on path B_CASE"
"GYNAECOLOGY","GYN-028","Prolapse with urinary retention or hydronephrosis","REACHABLE","B_CASE","P2","30","P2","30","GYN-028","unchanged","Urogynaecology; Urinary retention","confirmed by the evaluator on path B_CASE"
"GYNAECOLOGY","GYN-027","Symptomatic prolapse (non-procidentia)","REACHABLE","B_CASE","P3","120","P3","120","GYN-027","unchanged","Urogynaecology; Prolapse stage 1","confirmed by the evaluator on path B_CASE"
"GYNAECOLOGY","GYN-029","Stress urinary incontinence without prior physiotherapy","REACHABLE","B_CASE","P3","120","P3","120","GYN-029","unchanged","Stress urinary incontinence","confirmed by the evaluator on path B_CASE"
"GYNAECOLOGY","GYN-030","Urge incontinence without medication trial","REACHABLE","B_CASE","REJECT","—","REJECT","—","GYN-030","unchanged","Urge incontinence","confirmed by the evaluator on path B_CASE"
"GYNAECOLOGY","GYN-017","Recurrent urogynaecology symptoms","REACHABLE","B_CASE","P2","30","P2","30","GYN-017","unchanged","Urogynaecology; Recurrent symptoms","confirmed by the evaluator on path B_CASE"
"GYNAECOLOGY","GYN-018","Mesh related problem","REACHABLE","B_CASE","P2","30","P2","30","GYN-018","unchanged","Mesh related problem","confirmed by the evaluator on path B_CASE"
"GYNAECOLOGY","GYN-019","Asymptomatic prolapse","REACHABLE","B_CASE","REJECT","—","REJECT","—","GYN-019","unchanged","Asymptomatic prolapse","confirmed by the evaluator on path B_CASE"
"GYNAECOLOGY","GYN-031","Paediatric gynaecology referral","REACHABLE","B_CASE","P2","30","P2","30","GYN-031","unchanged","Paediatric gynaecology","confirmed by the evaluator on path B_CASE"
"GYNAECOLOGY","GYN-032","Obstetric pelvic tear grade 3B, 3C, or 4th degree","REACHABLE","B_CASE","P3","120","P3","120","GYN-032","unchanged","Perineal tear 3B","confirmed by the evaluator on path B_CASE"
"GYNAECOLOGY","GYN-020","Small asymptomatic cervical polyp with normal smear","REACHABLE","B_CASE","REJECT","—","REJECT","—","GYN-020","unchanged","Cervical polyp; Normal smear; Cervical polyp size","confirmed by the evaluator on path B_CASE"
"GYNAECOLOGY","GYN-021","Symptomatic larger cervical polyp with normal smear","REACHABLE","B_CASE","P3","—","P3","—","GYN-021","unchanged","Cervical polyp; Normal smear; Post-coital bleeding; Cervical polyp size","confirmed by the evaluator on path B_CASE"
"GYNAECOLOGY","GYN-009","PCOS virtual clinic pathway","REACHABLE","B_CASE","P5","—","P5","—","GYN-009","unchanged","PCOS","confirmed by the evaluator on path B_CASE"
"GYNAECOLOGY","GYN-010","Fertility referral diversion","REACHABLE","B_CASE","DECLINE","—","DECLINE","—","GYN-010","unchanged","Fertility","confirmed by the evaluator on path B_CASE"
"GYNAECOLOGY","GYN-011","Tubal ligation counselling","REACHABLE","B_CASE","P3","120","P3","120","GYN-011","unchanged","Tubal ligation","confirmed by the evaluator on path B_CASE"
"GYNAECOLOGY","GYN-034","Postmenopausal bleeding — single episode, endometrial thickness below 5mm","REACHABLE","B_CASE","P3","120","P3","120","GYN-034","unchanged","Postmenopausal bleeding; Ultrasound scan; Endometrial thickness","confirmed by the evaluator on path B_CASE"
"GYNAECOLOGY","GYN-035","TVT or sling complication","OPERATIONALLY_UNREACHABLE","","P2","30","n/a — never evaluated","n/a","n/a","n/a","","pipeline cannot emit any of: TVT complication, Sling complication, Mesh-tape complication"
"GYNAECOLOGY","GYN-036","Intermenstrual bleeding with reassuring investigations","REACHABLE","B_CASE","P3","120","P3","120","GYN-036","unchanged","Intermenstrual bleeding; Ultrasound scan","confirmed by the evaluator on path B_CASE"
"GYNAECOLOGY","GYN-037","AUB — normal USS, no prior medical management","REACHABLE","B_CASE","REJECT","—","REJECT","—","GYN-037","unchanged","Abnormal uterine bleeding; Ultrasound scan","confirmed by the evaluator on path B_CASE"
"GYNAECOLOGY","GYN-038","Re-grading required — new clinical information received","OPERATIONALLY_UNREACHABLE","","INFO_REQUIRED","—","n/a — never evaluated","n/a","n/a","n/a","","pipeline cannot emit any of: New clinical information, Re-grading requested, Upgraded urgency"
"GYNAECOLOGY","GYN-012","Routine gynaecology symptom bundle","REACHABLE","B_CASE","P3","120","P3","120","GYN-012","unchanged","Abnormal uterine bleeding; Ultrasound scan; Endometrial thickness","confirmed by the evaluator on path B_CASE"
