rule_id,section,tree_status,master_tree_location,coverage_note
F1-01,Figure 1,VISIBLE_OR_GROUPED,FIGURE 1,Rule is represented as an explicit or grouped node/edge in the named master-tree cluster; the exact source condition and outcome remain authoritative in the rulebook.
F1-02,Figure 1,VISIBLE_OR_GROUPED,FIGURE 1,Rule is represented as an explicit or grouped node/edge in the named master-tree cluster; the exact source condition and outcome remain authoritative in the rulebook.
F1-03,Figure 1,VISIBLE_OR_GROUPED,FIGURE 1,Rule is represented as an explicit or grouped node/edge in the named master-tree cluster; the exact source condition and outcome remain authoritative in the rulebook.
F1-04,Figure 1,VISIBLE_OR_GROUPED,FIGURE 1,Rule is represented as an explicit or grouped node/edge in the named master-tree cluster; the exact source condition and outcome remain authoritative in the rulebook.
F1-05,Figure 1,VISIBLE_OR_GROUPED,FIGURE 1,Rule is represented as an explicit or grouped node/edge in the named master-tree cluster; the exact source condition and outcome remain authoritative in the rulebook.
F1-06,Figure 1,VISIBLE_OR_GROUPED,FIGURE 1,Rule is represented as an explicit or grouped node/edge in the named master-tree cluster; the exact source condition and outcome remain authoritative in the rulebook.
F1-X,Figure 1,VISIBLE_OR_GROUPED,FIGURE 1,Rule is represented as an explicit or grouped node/edge in the named master-tree cluster; the exact source condition and outcome remain authoritative in the rulebook.
F2-01,Figure 2,VISIBLE_OR_GROUPED,FIGURE 2,Rule is represented as an explicit or grouped node/edge in the named master-tree cluster; the exact source condition and outcome remain authoritative in the rulebook.
F2-02,Figure 2,VISIBLE_OR_GROUPED,FIGURE 2,Rule is represented as an explicit or grouped node/edge in the named master-tree cluster; the exact source condition and outcome remain authoritative in the rulebook.
F2-03,Figure 2,VISIBLE_OR_GROUPED,FIGURE 2,Rule is represented as an explicit or grouped node/edge in the named master-tree cluster; the exact source condition and outcome remain authoritative in the rulebook.
F2-04,Figure 2,VISIBLE_OR_GROUPED,FIGURE 2,Rule is represented as an explicit or grouped node/edge in the named master-tree cluster; the exact source condition and outcome remain authoritative in the rulebook.
F2-05,Figure 2,VISIBLE_OR_GROUPED,FIGURE 2,Rule is represented as an explicit or grouped node/edge in the named master-tree cluster; the exact source condition and outcome remain authoritative in the rulebook.
F2-X,Figure 2,VISIBLE_OR_GROUPED,FIGURE 2,Rule is represented as an explicit or grouped node/edge in the named master-tree cluster; the exact source condition and outcome remain authoritative in the rulebook.
F3-01,Figure 3,VISIBLE_OR_GROUPED,FIGURE 3,Rule is represented as an explicit or grouped node/edge in the named master-tree cluster; the exact source condition and outcome remain authoritative in the rulebook.
F3-02,Figure 3,VISIBLE_OR_GROUPED,FIGURE 3,Rule is represented as an explicit or grouped node/edge in the named master-tree cluster; the exact source condition and outcome remain authoritative in the rulebook.
F3-03,Figure 3,VISIBLE_OR_GROUPED,FIGURE 3,Rule is represented as an explicit or grouped node/edge in the named master-tree cluster; the exact source condition and outcome remain authoritative in the rulebook.
F3-04,Figure 3,VISIBLE_OR_GROUPED,FIGURE 3,Rule is represented as an explicit or grouped node/edge in the named master-tree cluster; the exact source condition and outcome remain authoritative in the rulebook.
F3-05,Figure 3,VISIBLE_OR_GROUPED,FIGURE 3,Rule is represented as an explicit or grouped node/edge in the named master-tree cluster; the exact source condition and outcome remain authoritative in the rulebook.
F3-06,Figure 3,VISIBLE_OR_GROUPED,FIGURE 3,Rule is represented as an explicit or grouped node/edge in the named master-tree cluster; the exact source condition and outcome remain authoritative in the rulebook.
F3-07,Figure 3,VISIBLE_OR_GROUPED,FIGURE 3,Rule is represented as an explicit or grouped node/edge in the named master-tree cluster; the exact source condition and outcome remain authoritative in the rulebook.
F3-08,Figure 3,VISIBLE_OR_GROUPED,FIGURE 3,Rule is represented as an explicit or grouped node/edge in the named master-tree cluster; the exact source condition and outcome remain authoritative in the rulebook.
F3-09,Figure 3,VISIBLE_OR_GROUPED,FIGURE 3,Rule is represented as an explicit or grouped node/edge in the named master-tree cluster; the exact source condition and outcome remain authoritative in the rulebook.
F3-10,Figure 3,VISIBLE_OR_GROUPED,FIGURE 3,Rule is represented as an explicit or grouped node/edge in the named master-tree cluster; the exact source condition and outcome remain authoritative in the rulebook.
F3-11,Figure 3,VISIBLE_OR_GROUPED,FIGURE 3,Rule is represented as an explicit or grouped node/edge in the named master-tree cluster; the exact source condition and outcome remain authoritative in the rulebook.
F3-12,Figure 3,VISIBLE_OR_GROUPED,FIGURE 3,Rule is represented as an explicit or grouped node/edge in the named master-tree cluster; the exact source condition and outcome remain authoritative in the rulebook.
F3-13,Figure 3,VISIBLE_OR_GROUPED,FIGURE 3,Rule is represented as an explicit or grouped node/edge in the named master-tree cluster; the exact source condition and outcome remain authoritative in the rulebook.
F3-14,Figure 3,VISIBLE_OR_GROUPED,FIGURE 3,Rule is represented as an explicit or grouped node/edge in the named master-tree cluster; the exact source condition and outcome remain authoritative in the rulebook.
F3-15,Figure 3,VISIBLE_OR_GROUPED,FIGURE 3,Rule is represented as an explicit or grouped node/edge in the named master-tree cluster; the exact source condition and outcome remain authoritative in the rulebook.
F3-16,Figure 3,VISIBLE_OR_GROUPED,FIGURE 3,Rule is represented as an explicit or grouped node/edge in the named master-tree cluster; the exact source condition and outcome remain authoritative in the rulebook.
F3-17,Figure 3,VISIBLE_OR_GROUPED,FIGURE 3,Rule is represented as an explicit or grouped node/edge in the named master-tree cluster; the exact source condition and outcome remain authoritative in the rulebook.
F3-18,Figure 3,VISIBLE_OR_GROUPED,FIGURE 3,Rule is represented as an explicit or grouped node/edge in the named master-tree cluster; the exact source condition and outcome remain authoritative in the rulebook.
F3-19,Figure 3,VISIBLE_OR_GROUPED,FIGURE 3,Rule is represented as an explicit or grouped node/edge in the named master-tree cluster; the exact source condition and outcome remain authoritative in the rulebook.
F3-20,Figure 3,VISIBLE_OR_GROUPED,FIGURE 3,Rule is represented as an explicit or grouped node/edge in the named master-tree cluster; the exact source condition and outcome remain authoritative in the rulebook.
F3-21,Figure 3,VISIBLE_OR_GROUPED,FIGURE 3,Rule is represented as an explicit or grouped node/edge in the named master-tree cluster; the exact source condition and outcome remain authoritative in the rulebook.
F3-22,Figure 3,VISIBLE_OR_GROUPED,FIGURE 3,Rule is represented as an explicit or grouped node/edge in the named master-tree cluster; the exact source condition and outcome remain authoritative in the rulebook.
F4-01,Figure 4,VISIBLE_OR_GROUPED,FIGURE 4,Rule is represented as an explicit or grouped node/edge in the named master-tree cluster; the exact source condition and outcome remain authoritative in the rulebook.
F4-02,Figure 4,VISIBLE_OR_GROUPED,FIGURE 4,Rule is represented as an explicit or grouped node/edge in the named master-tree cluster; the exact source condition and outcome remain authoritative in the rulebook.
F4-03,Figure 4,VISIBLE_OR_GROUPED,FIGURE 4,Rule is represented as an explicit or grouped node/edge in the named master-tree cluster; the exact source condition and outcome remain authoritative in the rulebook.
F4-04,Figure 4,VISIBLE_OR_GROUPED,FIGURE 4,Rule is represented as an explicit or grouped node/edge in the named master-tree cluster; the exact source condition and outcome remain authoritative in the rulebook.
F4-05,Figure 4,VISIBLE_OR_GROUPED,FIGURE 4,Rule is represented as an explicit or grouped node/edge in the named master-tree cluster; the exact source condition and outcome remain authoritative in the rulebook.
F4-06,Figure 4,VISIBLE_OR_GROUPED,FIGURE 4,Rule is represented as an explicit or grouped node/edge in the named master-tree cluster; the exact source condition and outcome remain authoritative in the rulebook.
F4-07,Figure 4,VISIBLE_OR_GROUPED,FIGURE 4,Rule is represented as an explicit or grouped node/edge in the named master-tree cluster; the exact source condition and outcome remain authoritative in the rulebook.
F4-08,Figure 4,VISIBLE_OR_GROUPED,FIGURE 4,Rule is represented as an explicit or grouped node/edge in the named master-tree cluster; the exact source condition and outcome remain authoritative in the rulebook.
F4-09,Figure 4,VISIBLE_OR_GROUPED,FIGURE 4,Rule is represented as an explicit or grouped node/edge in the named master-tree cluster; the exact source condition and outcome remain authoritative in the rulebook.
F4-10,Figure 4,VISIBLE_OR_GROUPED,FIGURE 4,Rule is represented as an explicit or grouped node/edge in the named master-tree cluster; the exact source condition and outcome remain authoritative in the rulebook.
F4-11,Figure 4,VISIBLE_OR_GROUPED,FIGURE 4,Rule is represented as an explicit or grouped node/edge in the named master-tree cluster; the exact source condition and outcome remain authoritative in the rulebook.
F4-12,Figure 4,VISIBLE_OR_GROUPED,FIGURE 4,Rule is represented as an explicit or grouped node/edge in the named master-tree cluster; the exact source condition and outcome remain authoritative in the rulebook.
F4-13,Figure 4,VISIBLE_OR_GROUPED,FIGURE 4,Rule is represented as an explicit or grouped node/edge in the named master-tree cluster; the exact source condition and outcome remain authoritative in the rulebook.
F4-14,Figure 4,VISIBLE_OR_GROUPED,FIGURE 4,Rule is represented as an explicit or grouped node/edge in the named master-tree cluster; the exact source condition and outcome remain authoritative in the rulebook.
F4-15,Figure 4,VISIBLE_OR_GROUPED,FIGURE 4,Rule is represented as an explicit or grouped node/edge in the named master-tree cluster; the exact source condition and outcome remain authoritative in the rulebook.
F4-16,Figure 4,VISIBLE_OR_GROUPED,FIGURE 4,Rule is represented as an explicit or grouped node/edge in the named master-tree cluster; the exact source condition and outcome remain authoritative in the rulebook.
F5-01,Figure 5,VISIBLE_OR_GROUPED,FIGURE 5,Rule is represented as an explicit or grouped node/edge in the named master-tree cluster; the exact source condition and outcome remain authoritative in the rulebook.
F5-02,Figure 5,VISIBLE_OR_GROUPED,FIGURE 5,Rule is represented as an explicit or grouped node/edge in the named master-tree cluster; the exact source condition and outcome remain authoritative in the rulebook.
F5-03,Figure 5,VISIBLE_OR_GROUPED,FIGURE 5,Rule is represented as an explicit or grouped node/edge in the named master-tree cluster; the exact source condition and outcome remain authoritative in the rulebook.
F5-04,Figure 5,VISIBLE_OR_GROUPED,FIGURE 5,Rule is represented as an explicit or grouped node/edge in the named master-tree cluster; the exact source condition and outcome remain authoritative in the rulebook.
F5-05,Figure 5,VISIBLE_OR_GROUPED,FIGURE 5,Rule is represented as an explicit or grouped node/edge in the named master-tree cluster; the exact source condition and outcome remain authoritative in the rulebook.
F5-06,Figure 5,VISIBLE_OR_GROUPED,FIGURE 5,Rule is represented as an explicit or grouped node/edge in the named master-tree cluster; the exact source condition and outcome remain authoritative in the rulebook.
F5-07,Figure 5,VISIBLE_OR_GROUPED,FIGURE 5,Rule is represented as an explicit or grouped node/edge in the named master-tree cluster; the exact source condition and outcome remain authoritative in the rulebook.
F5-08,Figure 5,VISIBLE_OR_GROUPED,FIGURE 5,Rule is represented as an explicit or grouped node/edge in the named master-tree cluster; the exact source condition and outcome remain authoritative in the rulebook.
F5-09,Figure 5,VISIBLE_OR_GROUPED,FIGURE 5,Rule is represented as an explicit or grouped node/edge in the named master-tree cluster; the exact source condition and outcome remain authoritative in the rulebook.
F5-10,Figure 5,VISIBLE_OR_GROUPED,FIGURE 5,Rule is represented as an explicit or grouped node/edge in the named master-tree cluster; the exact source condition and outcome remain authoritative in the rulebook.
F5-11,Figure 5,VISIBLE_OR_GROUPED,FIGURE 5,Rule is represented as an explicit or grouped node/edge in the named master-tree cluster; the exact source condition and outcome remain authoritative in the rulebook.
F5-12,Figure 5,VISIBLE_OR_GROUPED,FIGURE 5,Rule is represented as an explicit or grouped node/edge in the named master-tree cluster; the exact source condition and outcome remain authoritative in the rulebook.
F6-01,Figure 6,VISIBLE_OR_GROUPED,FIGURE 6,Rule is represented as an explicit or grouped node/edge in the named master-tree cluster; the exact source condition and outcome remain authoritative in the rulebook.
F6-02,Figure 6,VISIBLE_OR_GROUPED,FIGURE 6,Rule is represented as an explicit or grouped node/edge in the named master-tree cluster; the exact source condition and outcome remain authoritative in the rulebook.
F6-03,Figure 6,VISIBLE_OR_GROUPED,FIGURE 6,Rule is represented as an explicit or grouped node/edge in the named master-tree cluster; the exact source condition and outcome remain authoritative in the rulebook.
F6-04,Figure 6,VISIBLE_OR_GROUPED,FIGURE 6,Rule is represented as an explicit or grouped node/edge in the named master-tree cluster; the exact source condition and outcome remain authoritative in the rulebook.
F6-05,Figure 6,VISIBLE_OR_GROUPED,FIGURE 6,Rule is represented as an explicit or grouped node/edge in the named master-tree cluster; the exact source condition and outcome remain authoritative in the rulebook.
F6-06,Figure 6,VISIBLE_OR_GROUPED,FIGURE 6,Rule is represented as an explicit or grouped node/edge in the named master-tree cluster; the exact source condition and outcome remain authoritative in the rulebook.
F6-07,Figure 6,VISIBLE_OR_GROUPED,FIGURE 6,Rule is represented as an explicit or grouped node/edge in the named master-tree cluster; the exact source condition and outcome remain authoritative in the rulebook.
F6-08,Figure 6,VISIBLE_OR_GROUPED,FIGURE 6,Rule is represented as an explicit or grouped node/edge in the named master-tree cluster; the exact source condition and outcome remain authoritative in the rulebook.
F6-09,Figure 6,VISIBLE_OR_GROUPED,FIGURE 6,Rule is represented as an explicit or grouped node/edge in the named master-tree cluster; the exact source condition and outcome remain authoritative in the rulebook.
F6-10,Figure 6,VISIBLE_OR_GROUPED,FIGURE 6,Rule is represented as an explicit or grouped node/edge in the named master-tree cluster; the exact source condition and outcome remain authoritative in the rulebook.
F6-11,Figure 6,VISIBLE_OR_GROUPED,FIGURE 6,Rule is represented as an explicit or grouped node/edge in the named master-tree cluster; the exact source condition and outcome remain authoritative in the rulebook.
F6-12,Figure 6,VISIBLE_OR_GROUPED,FIGURE 6,Rule is represented as an explicit or grouped node/edge in the named master-tree cluster; the exact source condition and outcome remain authoritative in the rulebook.
F6-13,Figure 6,VISIBLE_OR_GROUPED,FIGURE 6,Rule is represented as an explicit or grouped node/edge in the named master-tree cluster; the exact source condition and outcome remain authoritative in the rulebook.
F6-14,Figure 6,VISIBLE_OR_GROUPED,FIGURE 6,Rule is represented as an explicit or grouped node/edge in the named master-tree cluster; the exact source condition and outcome remain authoritative in the rulebook.
F6-15,Figure 6,VISIBLE_OR_GROUPED,FIGURE 6,Rule is represented as an explicit or grouped node/edge in the named master-tree cluster; the exact source condition and outcome remain authoritative in the rulebook.
F6-16,Figure 6,VISIBLE_OR_GROUPED,FIGURE 6,Rule is represented as an explicit or grouped node/edge in the named master-tree cluster; the exact source condition and outcome remain authoritative in the rulebook.
F7-01,Figure 7,VISIBLE_OR_GROUPED,FIGURE 7,Rule is represented as an explicit or grouped node/edge in the named master-tree cluster; the exact source condition and outcome remain authoritative in the rulebook.
F7-02,Figure 7,VISIBLE_OR_GROUPED,FIGURE 7,Rule is represented as an explicit or grouped node/edge in the named master-tree cluster; the exact source condition and outcome remain authoritative in the rulebook.
F7-03,Figure 7,VISIBLE_OR_GROUPED,FIGURE 7,Rule is represented as an explicit or grouped node/edge in the named master-tree cluster; the exact source condition and outcome remain authoritative in the rulebook.
F7-04,Figure 7,VISIBLE_OR_GROUPED,FIGURE 7,Rule is represented as an explicit or grouped node/edge in the named master-tree cluster; the exact source condition and outcome remain authoritative in the rulebook.
F7-05,Figure 7,VISIBLE_OR_GROUPED,FIGURE 7,Rule is represented as an explicit or grouped node/edge in the named master-tree cluster; the exact source condition and outcome remain authoritative in the rulebook.
F7-06,Figure 7,VISIBLE_OR_GROUPED,FIGURE 7,Rule is represented as an explicit or grouped node/edge in the named master-tree cluster; the exact source condition and outcome remain authoritative in the rulebook.
F7-07,Figure 7,VISIBLE_OR_GROUPED,FIGURE 7,Rule is represented as an explicit or grouped node/edge in the named master-tree cluster; the exact source condition and outcome remain authoritative in the rulebook.
F7-08,Figure 7,VISIBLE_OR_GROUPED,FIGURE 7,Rule is represented as an explicit or grouped node/edge in the named master-tree cluster; the exact source condition and outcome remain authoritative in the rulebook.
F7-09,Figure 7,VISIBLE_OR_GROUPED,FIGURE 7,Rule is represented as an explicit or grouped node/edge in the named master-tree cluster; the exact source condition and outcome remain authoritative in the rulebook.
F7-10,Figure 7,VISIBLE_OR_GROUPED,FIGURE 7,Rule is represented as an explicit or grouped node/edge in the named master-tree cluster; the exact source condition and outcome remain authoritative in the rulebook.
F7-11,Figure 7,VISIBLE_OR_GROUPED,FIGURE 7,Rule is represented as an explicit or grouped node/edge in the named master-tree cluster; the exact source condition and outcome remain authoritative in the rulebook.
F7-12,Figure 7,VISIBLE_OR_GROUPED,FIGURE 7,Rule is represented as an explicit or grouped node/edge in the named master-tree cluster; the exact source condition and outcome remain authoritative in the rulebook.
F7-13,Figure 7,VISIBLE_OR_GROUPED,FIGURE 7,Rule is represented as an explicit or grouped node/edge in the named master-tree cluster; the exact source condition and outcome remain authoritative in the rulebook.
F7-14,Figure 7,VISIBLE_OR_GROUPED,FIGURE 7,Rule is represented as an explicit or grouped node/edge in the named master-tree cluster; the exact source condition and outcome remain authoritative in the rulebook.
F7-15,Figure 7,VISIBLE_OR_GROUPED,FIGURE 7,Rule is represented as an explicit or grouped node/edge in the named master-tree cluster; the exact source condition and outcome remain authoritative in the rulebook.
F7-16,Figure 7,VISIBLE_OR_GROUPED,FIGURE 7,Rule is represented as an explicit or grouped node/edge in the named master-tree cluster; the exact source condition and outcome remain authoritative in the rulebook.
F7-17,Figure 7,VISIBLE_OR_GROUPED,FIGURE 7,Rule is represented as an explicit or grouped node/edge in the named master-tree cluster; the exact source condition and outcome remain authoritative in the rulebook.
F7-18,Figure 7,VISIBLE_OR_GROUPED,FIGURE 7,Rule is represented as an explicit or grouped node/edge in the named master-tree cluster; the exact source condition and outcome remain authoritative in the rulebook.
T1-01,Table 1,VISIBLE_OR_GROUPED,FIGURE 8 + TABLE 1,One of the 21 source cells. It is represented by the corresponding one of six group-specific mini-matrices; the exact cell remains individually addressable in the rulebook.
T1-02,Table 1,VISIBLE_OR_GROUPED,FIGURE 8 + TABLE 1,One of the 21 source cells. It is represented by the corresponding one of six group-specific mini-matrices; the exact cell remains individually addressable in the rulebook.
T1-03,Table 1,VISIBLE_OR_GROUPED,FIGURE 8 + TABLE 1,One of the 21 source cells. It is represented by the corresponding one of six group-specific mini-matrices; the exact cell remains individually addressable in the rulebook.
T1-04,Table 1,VISIBLE_OR_GROUPED,FIGURE 8 + TABLE 1,One of the 21 source cells. It is represented by the corresponding one of six group-specific mini-matrices; the exact cell remains individually addressable in the rulebook.
T1-05,Table 1,VISIBLE_OR_GROUPED,FIGURE 8 + TABLE 1,One of the 21 source cells. It is represented by the corresponding one of six group-specific mini-matrices; the exact cell remains individually addressable in the rulebook.
T1-06,Table 1,VISIBLE_OR_GROUPED,FIGURE 8 + TABLE 1,One of the 21 source cells. It is represented by the corresponding one of six group-specific mini-matrices; the exact cell remains individually addressable in the rulebook.
T1-07,Table 1,VISIBLE_OR_GROUPED,FIGURE 8 + TABLE 1,One of the 21 source cells. It is represented by the corresponding one of six group-specific mini-matrices; the exact cell remains individually addressable in the rulebook.
T1-08,Table 1,VISIBLE_OR_GROUPED,FIGURE 8 + TABLE 1,One of the 21 source cells. It is represented by the corresponding one of six group-specific mini-matrices; the exact cell remains individually addressable in the rulebook.
T1-09,Table 1,VISIBLE_OR_GROUPED,FIGURE 8 + TABLE 1,One of the 21 source cells. It is represented by the corresponding one of six group-specific mini-matrices; the exact cell remains individually addressable in the rulebook.
T1-10,Table 1,VISIBLE_OR_GROUPED,FIGURE 8 + TABLE 1,One of the 21 source cells. It is represented by the corresponding one of six group-specific mini-matrices; the exact cell remains individually addressable in the rulebook.
T1-11,Table 1,VISIBLE_OR_GROUPED,FIGURE 8 + TABLE 1,One of the 21 source cells. It is represented by the corresponding one of six group-specific mini-matrices; the exact cell remains individually addressable in the rulebook.
T1-12,Table 1,VISIBLE_OR_GROUPED,FIGURE 8 + TABLE 1,One of the 21 source cells. It is represented by the corresponding one of six group-specific mini-matrices; the exact cell remains individually addressable in the rulebook.
T1-13,Table 1,VISIBLE_OR_GROUPED,FIGURE 8 + TABLE 1,One of the 21 source cells. It is represented by the corresponding one of six group-specific mini-matrices; the exact cell remains individually addressable in the rulebook.
T1-14,Table 1,VISIBLE_OR_GROUPED,FIGURE 8 + TABLE 1,One of the 21 source cells. It is represented by the corresponding one of six group-specific mini-matrices; the exact cell remains individually addressable in the rulebook.
T1-15,Table 1,VISIBLE_OR_GROUPED,FIGURE 8 + TABLE 1,One of the 21 source cells. It is represented by the corresponding one of six group-specific mini-matrices; the exact cell remains individually addressable in the rulebook.
T1-16,Table 1,VISIBLE_OR_GROUPED,FIGURE 8 + TABLE 1,One of the 21 source cells. It is represented by the corresponding one of six group-specific mini-matrices; the exact cell remains individually addressable in the rulebook.
T1-17,Table 1,VISIBLE_OR_GROUPED,FIGURE 8 + TABLE 1,One of the 21 source cells. It is represented by the corresponding one of six group-specific mini-matrices; the exact cell remains individually addressable in the rulebook.
T1-18,Table 1,VISIBLE_OR_GROUPED,FIGURE 8 + TABLE 1,One of the 21 source cells. It is represented by the corresponding one of six group-specific mini-matrices; the exact cell remains individually addressable in the rulebook.
T1-19,Table 1,VISIBLE_OR_GROUPED,FIGURE 8 + TABLE 1,One of the 21 source cells. It is represented by the corresponding one of six group-specific mini-matrices; the exact cell remains individually addressable in the rulebook.
T1-20,Table 1,VISIBLE_OR_GROUPED,FIGURE 8 + TABLE 1,One of the 21 source cells. It is represented by the corresponding one of six group-specific mini-matrices; the exact cell remains individually addressable in the rulebook.
T1-21,Table 1,VISIBLE_OR_GROUPED,FIGURE 8 + TABLE 1,One of the 21 source cells. It is represented by the corresponding one of six group-specific mini-matrices; the exact cell remains individually addressable in the rulebook.
F8-01,Figure 8,VISIBLE_OR_GROUPED,FIGURE 8 + TABLE 1,Rule is represented as an explicit or grouped node/edge in the named master-tree cluster; the exact source condition and outcome remain authoritative in the rulebook.
F8-02,Figure 8,VISIBLE_OR_GROUPED,FIGURE 8 + TABLE 1,Rule is represented as an explicit or grouped node/edge in the named master-tree cluster; the exact source condition and outcome remain authoritative in the rulebook.
F8-03,Figure 8,VISIBLE_OR_GROUPED,FIGURE 8 + TABLE 1,Rule is represented as an explicit or grouped node/edge in the named master-tree cluster; the exact source condition and outcome remain authoritative in the rulebook.
F8-04,Figure 8,VISIBLE_OR_GROUPED,FIGURE 8 + TABLE 1,Rule is represented as an explicit or grouped node/edge in the named master-tree cluster; the exact source condition and outcome remain authoritative in the rulebook.
F8-05,Figure 8,VISIBLE_OR_GROUPED,FIGURE 8 + TABLE 1,Rule is represented as an explicit or grouped node/edge in the named master-tree cluster; the exact source condition and outcome remain authoritative in the rulebook.
F8-06,Figure 8,VISIBLE_OR_GROUPED,FIGURE 8 + TABLE 1,Rule is represented as an explicit or grouped node/edge in the named master-tree cluster; the exact source condition and outcome remain authoritative in the rulebook.
F8-07,Figure 8,VISIBLE_OR_GROUPED,FIGURE 8 + TABLE 1,Rule is represented as an explicit or grouped node/edge in the named master-tree cluster; the exact source condition and outcome remain authoritative in the rulebook.
F8-08,Figure 8,VISIBLE_OR_GROUPED,FIGURE 8 + TABLE 1,Rule is represented as an explicit or grouped node/edge in the named master-tree cluster; the exact source condition and outcome remain authoritative in the rulebook.
F8-09,Figure 8,VISIBLE_OR_GROUPED,FIGURE 8 + TABLE 1,Rule is represented as an explicit or grouped node/edge in the named master-tree cluster; the exact source condition and outcome remain authoritative in the rulebook.
F8-10,Figure 8,VISIBLE_OR_GROUPED,FIGURE 8 + TABLE 1,Rule is represented as an explicit or grouped node/edge in the named master-tree cluster; the exact source condition and outcome remain authoritative in the rulebook.
F8-11,Figure 8,VISIBLE_OR_GROUPED,FIGURE 8 + TABLE 1,Rule is represented as an explicit or grouped node/edge in the named master-tree cluster; the exact source condition and outcome remain authoritative in the rulebook.
F8-12,Figure 8,VISIBLE_OR_GROUPED,FIGURE 8 + TABLE 1,Rule is represented as an explicit or grouped node/edge in the named master-tree cluster; the exact source condition and outcome remain authoritative in the rulebook.
