section,rule_id,pathway_stage,condition,required_facts,missing_data_behavior,provisional_outcome,timing_destination,care_setting,automation_boundary,reviewer_requirement,source_document,source_reference,update_status,implementation_note,safety_priority
Global Router & Safety,GR-14,Pathway-specific completeness,After a pathway has been selected and before any terminal recommendation,All mandatory facts for the selected pathway,Do not default unknown to false or normal; stop and request information or require clinician review.,"Run a pathway-specific completeness gate. Missing critical facts must return INSUFFICIENT_INFORMATION or EXTERNAL_HISTORY_REQUIRED, never a confident routine outcome.",Before evaluation,All pathways,Safety stop,Mandatory clinician confirmation,NCSP June 2023 v1.1 + Feb/Mar 2026 controlling guidance where applicable,Software-safety synthesis of Figs 1-10/Table 1,v2.1 QA correction,Provisional recommendation only; reviewer confirmation required; not for direct clinical action.,CRITICAL
Global Router & Safety,GS-01,Safety,Required clinical fact is missing or unknown,Required facts for selected rule,Do not default unknown to false or normal; stop and request information or clinician review.,Return INSUFFICIENT_INFORMATION / EXTERNAL_HISTORY_REQUIRED; never generate routine recall from a default false/normal value.,Immediate information request,Review queue,Software safety stop,Mandatory reviewer confirmation,NCSP June 2023 v1.1 + 2026 addendum/immune guidance as applicable,Guideline-wide professional judgement + software safety design,Software-safety interpretation,Provisional recommendation only; reviewer confirmation required; not for direct clinical action.,CRITICAL
Global Router & Safety,GS-02,Safety,Same input and same rule release,Canonical input; rule version,Do not default unknown to false or normal; stop and request information or clinician review.,Produce the same provisional result and preserve the exact branch trace.,Immediate,Engine/audit,Deterministic invariant,Reviewer confirmation required,NCSP June 2023 v1.1 + 2026 addendum/immune guidance as applicable,Software verification invariant,Software-safety interpretation,Provisional recommendation only; reviewer confirmation required; not for direct clinical action.,HIGH
Global Router & Safety,GS-03,Safety,Rule release changes after a decision is confirmed,Decision snapshot; old/new rule versions,Do not default unknown to false or normal; stop and request information or clinician review.,Do not silently rewrite historic decisions; regrading must create a new traceable version.,On regrade,Audit/persistence,Governance invariant,Mandatory reviewer confirmation,NCSP June 2023 v1.1 + 2026 addendum/immune guidance as applicable,Software governance requirement,Software-safety interpretation,Provisional recommendation only; reviewer confirmation required; not for direct clinical action.,HIGH
Global Router & Safety,GS-04,Safety,Clinician-only branch reached,MDM/biopsy/lesion/treatment decision state,Do not default unknown to false or normal; stop and request information or clinician review.,Return CLINICIAN_REVIEW_REQUIRED rather than autonomous final approval.,Immediate,Specialist review,Clinician-only boundary,Mandatory specialist confirmation,NCSP June 2023 v1.1 + 2026 addendum/immune guidance as applicable,Guideline-wide clinician judgement,Software-safety interpretation,Provisional recommendation only; reviewer confirmation required; not for direct clinical action.,CRITICAL
Global Router & Safety,GS-05,Safety,National clinical route and local booking priority both available,Clinical route; local policy version,Do not default unknown to false or normal; stop and request information or clinician review.,Keep the national pathway result separate from local operational priority.,At disposition,Workflow layer,Governance boundary,Reviewer confirmation required,NCSP June 2023 v1.1 + 2026 addendum/immune guidance as applicable,Guideline + local governance,Software-safety interpretation,Provisional recommendation only; reviewer confirmation required; not for direct clinical action.,HIGH
Global Router & Safety,GS-06,Safety,Synthetic/demo environment export,Environment flag; confirmed reviewer decision,Do not default unknown to false or normal; stop and request information or clinician review.,Label outputs: simulated export package; integration-ready preview; not for direct clinical action.,At export,Demo/export,Product safety boundary,Reviewer confirmation required,NCSP June 2023 v1.1 + 2026 addendum/immune guidance as applicable,Product safety requirement,Software-safety interpretation,Provisional recommendation only; reviewer confirmation required; not for direct clinical action.,HIGH
Figure 1,F1-01,Decision branch,Never screened,Transition status; screening history,Do not issue a confident terminal outcome when any required fact is unknown; request information or require clinician review.,"Invite now, then perform primary HPV screening via Figure 3",Now / next available screening,Primary/community care or programme follow-up,Deterministic provisional,Reviewer confirmation required,NCSP Clinical Practice Guidelines June 2023 v1.1,Fig. 1 p18; R2.02,2023 base rule,Provisional recommendation only; reviewer confirmation required; not for direct clinical action.,MEDIUM
Figure 1,F1-02,Decision branch,Under-screened,Transition status; last screening date/history,Do not issue a confident terminal outcome when any required fact is unknown; request information or require clinician review.,"Invite now, then Figure 3",Now,Primary/community care or programme follow-up,Deterministic provisional,Reviewer confirmation required,NCSP Clinical Practice Guidelines June 2023 v1.1,Fig. 1 p18; R2.02,2023 base rule,Provisional recommendation only; reviewer confirmation required; not for direct clinical action.,MEDIUM
Figure 1,F1-03,Decision branch,Overdue,Transition status; due date,Do not issue a confident terminal outcome when any required fact is unknown; request information or require clinician review.,"Invite now, then Figure 3",Now,Primary/community care or programme follow-up,Deterministic provisional,Reviewer confirmation required,NCSP Clinical Practice Guidelines June 2023 v1.1,Fig. 1 p18; R2.02,2023 base rule,Provisional recommendation only; reviewer confirmation required; not for direct clinical action.,MEDIUM
Figure 1,F1-04,Decision branch,Regularly screened with normal results,Transition status; prior results; next due date,Do not issue a confident terminal outcome when any required fact is unknown; request information or require clinician review.,"Invite at next scheduled visit, then Figure 3",Next scheduled visit,Primary/community care or programme follow-up,Deterministic provisional,Reviewer confirmation required,NCSP Clinical Practice Guidelines June 2023 v1.1,Fig. 1 p18; R2.02,2023 base rule,Provisional recommendation only; reviewer confirmation required; not for direct clinical action.,MEDIUM
Figure 1,F1-05,Decision branch,"Previous low-grade result, already returned to regular screening",Prior cytology; return-to-regular status,Do not issue a confident terminal outcome when any required fact is unknown; request information or require clinician review.,"Invite at next scheduled visit, then Figure 3",Next scheduled visit,Primary/community care or programme follow-up,Deterministic provisional,Reviewer confirmation required,NCSP Clinical Practice Guidelines June 2023 v1.1,Fig. 1 p18; R2.02,2023 base rule,Provisional recommendation only; reviewer confirmation required; not for direct clinical action.,MEDIUM
Figure 1,F1-06,Decision branch,Previous high-grade result with successful Test of Cure,Prior high-grade; ToC completion evidence,Do not issue a confident terminal outcome when any required fact is unknown; request information or require clinician review.,"Invite at next scheduled visit, then Figure 3",Next scheduled visit,Primary/community care or programme follow-up,Deterministic provisional,Reviewer confirmation required,NCSP Clinical Practice Guidelines June 2023 v1.1,Fig. 1 p18; R2.02,2023 base rule,Provisional recommendation only; reviewer confirmation required; not for direct clinical action.,MEDIUM
Figure 1,F1-X,Decision branch,Previous high-grade/glandular result not returned to regular screening,Prior high-grade/glandular history; ToC/colposcopy status,Do not issue a confident terminal outcome when any required fact is unknown; request information or require clinician review.,Do not use Figure 1; route to Figure 2,,Reviewer-confirmed pathway,Safety router,Reviewer confirmation required,NCSP Clinical Practice Guidelines June 2023 v1.1,Sec. 2.7; Fig. 2,2023 base rule,Provisional recommendation only; reviewer confirmation required; not for direct clinical action.,LOW
Figure 2,F2-01,Decision branch,Previous possible/definite HSIL or atypical glandular cells except atypical endometrial cells,Last cytology recommendation; whether colposcopy occurred; ToC status,Do not issue a confident terminal outcome when any required fact is unknown; request information or require clinician review.,"If colposcopy was recommended and not done, refer to colposcopy; otherwise complete Test of Cure. After successful resolution, proceed to regular screening/Figure 3",Colposcopy or ongoing annual co-testing,Colposcopy service,Deterministic provisional,Reviewer confirmation required,NCSP Clinical Practice Guidelines June 2023 v1.1,Fig. 2 p19; R2.04-R2.07,2023 base rule,Provisional recommendation only; reviewer confirmation required; not for direct clinical action.,HIGH
Figure 2,F2-02,Overlay / modifier,Previous AIS without total hysterectomy,Pre-treatment HPV status; excision margins; hysterectomy status; prior follow-up,Do not issue a confident terminal outcome when any required fact is unknown; request information or require clinician review.,Follow AIS post-treatment pathway rather than ordinary Figure 3,See R2.08 and 2026 R9.14 overlay,Reviewer-confirmed pathway,Specialist-led / mandatory review,Mandatory clinician/specialist confirmation,NCSP guideline addendum v1.0 (2 Feb 2026) + June 2023 base,Fig. 2 p19; R2.08; 2026 addendum R9.14,2026 controlling update,Provisional recommendation only; reviewer confirmation required; not for direct clinical action.,HIGH
Figure 2,F2-03,Decision branch,Previous atypical endometrial cells; report >3 years ago,Cytology date; no other abnormality,Do not issue a confident terminal outcome when any required fact is unknown; request information or require clinician review.,Primary HPV screening test at next scheduled visit via Figure 3,Next scheduled visit,Primary/community care or programme follow-up,Deterministic provisional,Reviewer confirmation required,NCSP Clinical Practice Guidelines June 2023 v1.1,Fig. 2 p19; R2.04,2023 base rule,Provisional recommendation only; reviewer confirmation required; not for direct clinical action.,MEDIUM
Figure 2,F2-04,Decision branch,Previous atypical endometrial cells; already investigated by specialist and discharged to primary care,Specialist assessment/discharge evidence,Do not issue a confident terminal outcome when any required fact is unknown; request information or require clinician review.,Primary HPV screening test at next scheduled visit via Figure 3,Next scheduled visit,Primary/community care or programme follow-up,Deterministic provisional,Reviewer confirmation required,NCSP Clinical Practice Guidelines June 2023 v1.1,Fig. 2 p19; R2.04,2023 base rule,Provisional recommendation only; reviewer confirmation required; not for direct clinical action.,MEDIUM
Figure 2,F2-05,Decision branch,Previous atypical endometrial cells; neither >3 years nor specialist-assessed/discharged,Cytology date; specialist status,Do not issue a confident terminal outcome when any required fact is unknown; request information or require clinician review.,Refer to specialist gynaecology services,Specialist assessment,Specialist gynaecology,Specialist-led,Mandatory clinician/specialist confirmation,NCSP Clinical Practice Guidelines June 2023 v1.1,Fig. 2 p19; R2.04,2023 base rule,Provisional recommendation only; reviewer confirmation required; not for direct clinical action.,LOW
Figure 2,F2-X,Decision branch,Prior high-grade history already completed Test of Cure,Documented ToC completion,Do not issue a confident terminal outcome when any required fact is unknown; request information or require clinician review.,Do not remain in Figure 2; return to Figure 1/Figure 3,,Reviewer-confirmed pathway,Deterministic provisional,Reviewer confirmation required,NCSP Clinical Practice Guidelines June 2023 v1.1,Fig. 1-2; R2.02,2023 base rule,Provisional recommendation only; reviewer confirmation required; not for direct clinical action.,LOW
Figure 3,F3-01,Entry,Primary HPV test: HPV not detected; immune competent,HPV result; immune status; asymptomatic status,Do not issue a confident terminal outcome when any required fact is unknown; request information or require clinician review.,Return for screening in 5 years,5 years,Primary/community care or programme follow-up,Deterministic provisional,Reviewer confirmation required,NCSP Clinical Practice Guidelines June 2023 v1.1,Fig. 3 p24; R4.01,2023 base rule,Provisional recommendation only; reviewer confirmation required; not for direct clinical action.,MEDIUM
Figure 3,F3-02,Entry,Primary HPV test: HPV not detected; immune deficient,HPV result; verified immune-deficiency category,Do not issue a confident terminal outcome when any required fact is unknown; request information or require clinician review.,Return for screening in 3 years,3 years,Primary/community care or programme follow-up,Deterministic provisional,Reviewer confirmation required,NCSP immune-deficiency guidance v1.0.1 (12 Mar 2026),Fig. 3 p24; 2026 immune guidance,2026 controlling update,Provisional recommendation only; reviewer confirmation required; not for direct clinical action.,MEDIUM
Figure 3,F3-03,Safety / exception,"HPV 16 or 18 detected, any age in screening range, any cytology including unsatisfactory",HPV genotype; sample type; cytology if available,Do not issue a confident terminal outcome when any required fact is unknown; request information or require clinician review.,"Refer directly to colposcopy. If swab sample, obtain LBC/cytology at colposcopy",20 or 30 working days according to risk/history; urgent if invasive cytology,Colposcopy service,Deterministic provisional,Reviewer confirmation required,NCSP Clinical Practice Guidelines June 2023 v1.1,Fig. 3 p24; R4.06-R4.11,2023 base rule,Provisional recommendation only; reviewer confirmation required; not for direct clinical action.,HIGH
Figure 3,F3-04,Decision branch,HPV Other detected on swab-collected sample,HPV result; sample type,Do not issue a confident terminal outcome when any required fact is unknown; request information or require clinician review.,Return visit for clinical examination and clinician-taken LBC for cytology,As soon as practicable for triage,Reviewer-confirmed pathway,Deterministic provisional,Mandatory clinician/specialist confirmation,NCSP Clinical Practice Guidelines June 2023 v1.1,Fig. 3 p24; R2.01; R4.02,2023 base rule,Provisional recommendation only; reviewer confirmation required; not for direct clinical action.,LOW
Figure 3,F3-05,Decision branch,HPV Other + possible/definite high-grade cytology excluding cytology suspicious/definite for invasive cancer and excluding atypical/malignant endometrial cells,HPV result; cytology category,Do not issue a confident terminal outcome when any required fact is unknown; request information or require clinician review.,Refer to colposcopy or the applicable glandular specialist pathway.,Urgent within 2 weeks if invasive cancer suspected/definite,Specialist gynaecology,Deterministic provisional,Reviewer confirmation required,NCSP Clinical Practice Guidelines June 2023 v1.1,Fig. 3 p24; R4.04-R4.05,2023 base rule,Provisional recommendation only; reviewer confirmation required; not for direct clinical action.,HIGH
Figure 3,F3-06,Decision branch,HPV Other + atypical endometrial cells with no co-existing colposcopy indication,Cytology subtype; co-existing abnormalities,Do not issue a confident terminal outcome when any required fact is unknown; request information or require clinician review.,Refer for specialist gynaecological assessment,Specialist assessment,Specialist gynaecology,Specialist-led,Mandatory clinician/specialist confirmation,NCSP Clinical Practice Guidelines June 2023 v1.1,R4.04,2023 base rule,Provisional recommendation only; reviewer confirmation required; not for direct clinical action.,MEDIUM
Figure 3,F3-07,Decision branch,Initial HPV Other + negative/ASC-US/LSIL cytology,HPV result; cytology; test event number,Do not issue a confident terminal outcome when any required fact is unknown; request information or require clinician review.,"Repeat HPV test in 12 months, using LBC",12 months,Primary/community care or programme follow-up,Deterministic provisional,Reviewer confirmation required,NCSP Clinical Practice Guidelines June 2023 v1.1,Fig. 3 p24; R4.02,2023 base rule,Provisional recommendation only; reviewer confirmation required; not for direct clinical action.,MEDIUM
Figure 3,F3-08,Follow-up,First 12-month repeat: HPV not detected,Repeat-stage; HPV result,Do not issue a confident terminal outcome when any required fact is unknown; request information or require clinician review.,Return to regular interval screening,5 years or 3 years if immune deficient,Primary/community care or programme follow-up,Deterministic provisional,Reviewer confirmation required,NCSP Clinical Practice Guidelines June 2023 v1.1,Fig. 3; R4.03,2023 base rule,Provisional recommendation only; reviewer confirmation required; not for direct clinical action.,MEDIUM
Figure 3,F3-09,Follow-up,First 12-month repeat: HPV 16 or 18,Repeat-stage; HPV genotype,Do not issue a confident terminal outcome when any required fact is unknown; request information or require clinician review.,Refer to colposcopy,According to HPV16/18 referral priority,Colposcopy service,Deterministic provisional,Reviewer confirmation required,NCSP Clinical Practice Guidelines June 2023 v1.1,Fig. 3; R4.03/R4.06,2023 base rule,Provisional recommendation only; reviewer confirmation required; not for direct clinical action.,HIGH
Figure 3,F3-10,Follow-up,First 12-month repeat: HPV Other + possible/definite high-grade cytology,Repeat-stage; HPV result; cytology,Do not issue a confident terminal outcome when any required fact is unknown; request information or require clinician review.,Refer to colposcopy/specialist pathway,Urgent if invasive,Colposcopy service,Deterministic provisional,Reviewer confirmation required,NCSP Clinical Practice Guidelines June 2023 v1.1,Fig. 3; R4.03-R4.05,2023 base rule,Provisional recommendation only; reviewer confirmation required; not for direct clinical action.,HIGH
Figure 3,F3-11,Follow-up,First 12-month repeat: HPV Other + negative/ASC-US/LSIL and age >=50,Age/DOB; repeat-stage; HPV/cytology,Do not issue a confident terminal outcome when any required fact is unknown; request information or require clinician review.,Refer to colposcopy,After second test event,Colposcopy service,Deterministic provisional,Reviewer confirmation required,NCSP Clinical Practice Guidelines June 2023 v1.1,Fig. 3 p24; Sec. 4.4,2023 base rule,Provisional recommendation only; reviewer confirmation required; not for direct clinical action.,HIGH
Figure 3,F3-12,Follow-up,First 12-month repeat: HPV Other + negative/ASC-US/LSIL and age <50,Age/DOB; repeat-stage; HPV/cytology,Do not issue a confident terminal outcome when any required fact is unknown; request information or require clinician review.,"Second repeat HPV test in another 12 months, using LBC",12 months later,Primary/community care or programme follow-up,Deterministic provisional,Reviewer confirmation required,NCSP Clinical Practice Guidelines June 2023 v1.1,Fig. 3 p24; Sec. 4.4,2023 base rule,Provisional recommendation only; reviewer confirmation required; not for direct clinical action.,MEDIUM
Figure 3,F3-13,Follow-up,Second repeat: HPV not detected,Repeat-stage; HPV result,Do not issue a confident terminal outcome when any required fact is unknown; request information or require clinician review.,Return to regular interval screening,5 years or 3 years if immune deficient,Primary/community care or programme follow-up,Deterministic provisional,Reviewer confirmation required,NCSP Clinical Practice Guidelines June 2023 v1.1,Fig. 3 p24,2023 base rule,Provisional recommendation only; reviewer confirmation required; not for direct clinical action.,MEDIUM
Figure 3,F3-14,Follow-up,Second repeat: HPV detected any type,Repeat-stage; HPV result,Do not issue a confident terminal outcome when any required fact is unknown; request information or require clinician review.,Refer to colposcopy irrespective of cytology,After third test event,Colposcopy service,Deterministic provisional,Reviewer confirmation required,NCSP Clinical Practice Guidelines June 2023 v1.1,Fig. 3 p24; Sec. 4.12,2023 base rule,Provisional recommendation only; reviewer confirmation required; not for direct clinical action.,HIGH
Figure 3,F3-15,Decision branch,Age 70-74 exit test: HPV not detected,Age/DOB; HPV result; no subsequent abnormal result,Do not issue a confident terminal outcome when any required fact is unknown; request information or require clinician review.,Discharge from NCSP,Immediate exit,Reviewer-confirmed pathway,Deterministic provisional,Reviewer confirmation required,NCSP Clinical Practice Guidelines June 2023 v1.1,R4.13 p8,2023 base rule,Provisional recommendation only; reviewer confirmation required; not for direct clinical action.,LOW
Figure 3,F3-16,Decision branch,Age 70-74 exit test: HPV detected any type,Age/DOB; HPV result,Do not issue a confident terminal outcome when any required fact is unknown; request information or require clinician review.,Refer to colposcopy,Do not defer/exit,Colposcopy service,Deterministic provisional,Reviewer confirmation required,NCSP Clinical Practice Guidelines June 2023 v1.1,R4.14 p8,2023 base rule,Provisional recommendation only; reviewer confirmation required; not for direct clinical action.,HIGH
Figure 3,F3-17,Decision branch,Asymptomatic age >=75,Age/DOB; symptom status,Do not issue a confident terminal outcome when any required fact is unknown; request information or require clinician review.,Routine screening not recommended,No routine screening,Primary/community care or programme follow-up,Deterministic provisional,Reviewer confirmation required,NCSP Clinical Practice Guidelines June 2023 v1.1,Sec. 4 exit guidance,2023 base rule,Provisional recommendation only; reviewer confirmation required; not for direct clinical action.,MEDIUM
Figure 3,F3-18,Safety / exception,HPV test invalid or unsuitable for analysis,Validity; leakage/technical issue; available cytology,Do not issue a confident terminal outcome when any required fact is unknown; request information or require clinician review.,Repeat HPV test as soon as practicable with no required delay,ASAP,Primary/community care or programme follow-up,Deterministic provisional,Reviewer confirmation required,NCSP Clinical Practice Guidelines June 2023 v1.1,R3.04,2023 base rule,Provisional recommendation only; reviewer confirmation required; not for direct clinical action.,MEDIUM
Figure 3,F3-19,Safety / exception,Unsatisfactory cytology,HPV genotype; cytology adequacy; consecutive unsatisfactory count,Do not issue a confident terminal outcome when any required fact is unknown; request information or require clinician review.,Repeat LBC no sooner than 6 weeks and no later than 3 months; HPV16/18 still goes directly to colposcopy; HPV Other + two consecutive unsatisfactory results goes to colposcopy,6 weeks-3 months or immediate colposcopy,Colposcopy service,Deterministic provisional,Reviewer confirmation required,NCSP Clinical Practice Guidelines June 2023 v1.1,R3.03/R4.08,2023 base rule,Provisional recommendation only; reviewer confirmation required; not for direct clinical action.,HIGH
Figure 3,F3-20,Initial or repeat HPV event,Cytology suspicious of or definite for invasive cervical cancer with HPV Other,HPV result; exact cytology; symptoms; referral status,Do not default unknown to false or normal; stop and request information or require clinician review.,Urgent colposcopic assessment within two weeks. This overrides ordinary HPV Other repeat logic.,Within 2 weeks,Urgent colposcopy,Safety escalation,Mandatory specialist confirmation,NCSP June 2023 v1.1,R4.05,v2.1 QA correction,Provisional recommendation only; reviewer confirmation required; not for direct clinical action.,CRITICAL
Figure 3,F3-21,Initial or repeat HPV event,HPV 16/18 with cytology suspicious of or definite for invasive cancer,HPV genotype; exact cytology; referral status,Do not default unknown to false or normal; stop and request information or require clinician review.,Urgent evaluation by colposcopy or gynaecological oncology. This is distinct from ordinary HPV16/18 colposcopy.,Urgent / within 2 weeks where specified,Urgent specialist assessment,Safety escalation,Mandatory specialist confirmation,NCSP June 2023 v1.1,R4.07,v2.1 QA correction,Provisional recommendation only; reviewer confirmation required; not for direct clinical action.,CRITICAL
Figure 3,F3-22,Repeat-event overlay,"Any initial, first-repeat, or second-repeat event has invalid/unsuitable HPV, unsatisfactory cytology, or atypical/malignant endometrial cytology",Event stage; HPV validity; cytology adequacy; exact cytology; previous unsatisfactory count,Do not default unknown to false or normal; stop and request information or require clinician review.,Apply Section 3 validity/adequacy rules and the specialist endometrial route at every repeat stage before ordinary branch evaluation.,,Primary/community or specialist care,Safety overlay,Mandatory clinician confirmation,NCSP June 2023 v1.1,Section 3; R4.04; Figure 3,v2.1 QA correction,Provisional recommendation only; reviewer confirmation required; not for direct clinical action.,CRITICAL
Figure 4,F4-01,Decision branch,HPV detected any type + negative/ASC-US/LSIL cytology + normal colposcopy,HPV; cytology; colposcopy result,Do not issue a confident terminal outcome when any required fact is unknown; request information or require clinician review.,Repeat HPV test in community care using LBC,12 months,Primary/community care or programme follow-up,Deterministic provisional,Reviewer confirmation required,NCSP Clinical Practice Guidelines June 2023 v1.1,Fig. 4 p45; R6.03,2023 base rule,Provisional recommendation only; reviewer confirmation required; not for direct clinical action.,MEDIUM
Figure 4,F4-02,Follow-up,12-month repeat: HPV not detected,HPV result,Do not issue a confident terminal outcome when any required fact is unknown; request information or require clinician review.,Return to regular interval screening: 5 years if immune competent or 3 years if verified immune deficient.,5 years or 3 years if immune deficient,Primary/community care or programme follow-up,Deterministic provisional,Reviewer confirmation required,NCSP Clinical Practice Guidelines June 2023 v1.1,Fig. 4; R6.03,2023 base rule,Provisional recommendation only; reviewer confirmation required; not for direct clinical action.,MEDIUM
