Service,Rule ID,Category or scenario,Source document,Our understanding of the rule,"What information does the grader need to make this decision?",Expected outcome or booking timeframe,"Agree as written? (Yes / No / Amend / Not used locally)","If not please amend","Needed in phase 1? (Yes / No / Later)",Clinical owner,Notes
COLPOSCOPY,COLP-11,"Other reasons: HPV not detected and suspicion of cancer",Colposcopy booking-priority guide,"If HPV is not detected but there is suspicion of cancer, with or without cytology, booking appears to be within 10 days.","HPV result, cancer suspicion, cytology if present","10 days",,,"Yes",,
COLPOSCOPY,COLP-12,"Other reasons: HPV not detected with ASC-H, HSIL, AIS, or glandular cytology",Colposcopy booking-priority guide,"If HPV is not detected but cytology reports ASC-H, HSIL, AIS, or glandular, this appears to be a 30-day pathway.","HPV result, cytology result","30 days",,,"Yes",,
COLPOSCOPY,COLP-13,"Other reasons: other clinical assessment",Colposcopy booking-priority guide,"The guide lists 'Other clinical assessment' under 30 days, but the differentiating condition is not shown. Please clarify when 30 days should apply.","Clinical assessment details","Please confirm",,,"Yes",,
COLPOSCOPY,COLP-14,"Other reasons: other clinical assessment",Colposcopy booking-priority guide,"The guide lists 'Other clinical assessment' under 3 months, but the differentiating condition is not shown. Please clarify when 3 months should apply.","Clinical assessment details","Please confirm",,,"Yes",,
COLPOSCOPY,COLP-15,"Other reasons: other clinical assessment",Colposcopy booking-priority guide,"The guide lists 'Other clinical assessment' under 6 months, but the differentiating condition is not shown. Please clarify when 6 months should apply.","Clinical assessment details","Please confirm",,,"Yes",,
COLPOSCOPY,COLP-16,"Positive test of cure re-referral: HPV 16/18 or HPV other with suspicion or definite cancer",Colposcopy booking-priority guide,"For positive test of cure re-referral, HPV 16/18 or HPV other with cytology reporting suspicion or definite cancer appears to be a 10-day pathway.","Test-of-cure context, HPV group, cytology result","10 days",,,"Yes",,
COLPOSCOPY,COLP-17,"Positive test of cure re-referral: HPV 16/18 or HPV other with ASC-H, HSIL, AIS, or glandular",Colposcopy booking-priority guide,"For positive test of cure re-referral, HPV 16/18 or HPV other with high-grade/glandular cytology appears to be a 30-day pathway.","Test-of-cure context, HPV group, cytology result","30 days",,,"Yes",,
COLPOSCOPY,COLP-18,"Positive test of cure re-referral: HPV 16/18 or HPV other with no cytology",Colposcopy booking-priority guide,"For positive test of cure re-referral, HPV 16/18 or HPV other with no cytology appears to be a 3-month pathway.","Test-of-cure context, HPV group, cytology availability","3 months",,,"Yes",,
COLPOSCOPY,COLP-19,"Positive test of cure re-referral: HPV 16/18 or HPV other with normal or ASCUS/LSIL cytology",Colposcopy booking-priority guide,"For positive test of cure re-referral, HPV 16/18 or HPV other with normal or ASCUS/LSIL cytology appears to be a 3-month pathway.","Test-of-cure context, HPV group, cytology result","3 months",,,"Yes",,
COLPOSCOPY,COLP-20,"Positive test of cure re-referral: HPV not detected with ASCUS/LSIL x2",Colposcopy booking-priority guide,"For positive test of cure re-referral, HPV not detected with ASCUS/LSIL x2 appears to be a 6-month pathway.","Test-of-cure context, HPV result, repeat count, cytology result","6 months",,,"Yes",,
COLPOSCOPY,COLP-21,"Previous normal colposcopy re-referral: HPV 16/18 or HPV other with suspicion or definite cancer",Colposcopy booking-priority guide,"After previous normal colposcopy, HPV 16/18 or HPV other with suspicion or definite cancer appears to be a 10-day pathway.","Prior colposcopy context, HPV group, cytology result","10 days",,,"Yes",,
COLPOSCOPY,COLP-22,"Previous normal colposcopy re-referral: HPV 16/18 or HPV other with ASC-H, HSIL, AIS, or glandular",Colposcopy booking-priority guide,"After previous normal colposcopy, HPV 16/18 or HPV other with ASC-H, HSIL, AIS, or glandular appears to be a 30-day pathway.","Prior colposcopy context, HPV group, cytology result","30 days",,,"Yes",,
COLPOSCOPY,COLP-23,"Previous normal colposcopy re-referral: HPV 16/18 with no cytology",Colposcopy booking-priority guide,"After previous normal colposcopy, HPV 16/18 with no cytology appears to be a 6-month pathway.","Prior colposcopy context, HPV group, cytology availability","6 months",,,"Yes",,
COLPOSCOPY,COLP-24,"Previous normal colposcopy re-referral: HPV 16/18 with normal or ASCUS/LSIL cytology",Colposcopy booking-priority guide,"After previous normal colposcopy, HPV 16/18 with normal or ASCUS/LSIL cytology appears to be a 6-month pathway.","Prior colposcopy context, HPV group, cytology result","6 months",,,"Yes",,
COLPOSCOPY,COLP-25,"Previous normal colposcopy re-referral: immune-deficient HPV other with no cytology or normal, ASCUS, LSIL",Colposcopy booking-priority guide,"After previous normal colposcopy, immune-deficient HPV other with no cytology or low-grade/normal cytology appears to be a 6-month pathway.","Prior colposcopy context, immune status, HPV group, cytology","6 months",,,"Yes",,
COLPOSCOPY,COLP-26,"Previous normal colposcopy re-referral: HPV other with normal or ASCUS/LSIL x2",Colposcopy booking-priority guide,"After previous normal colposcopy, HPV other with normal or ASCUS/LSIL x2 appears to be a 6-month pathway.","Prior colposcopy context, HPV group, repeat count, cytology result","6 months",,,"Yes",,
COLPOSCOPY,COLP-27,"Previous normal colposcopy re-referral: HPV other with no cytology x2",Colposcopy booking-priority guide,"After previous normal colposcopy, HPV other with no cytology x2 appears to be a 6-month pathway.","Prior colposcopy context, HPV group, repeat count, cytology availability","6 months",,,"Yes",,
COLPOSCOPY,COLP-28,"Previous LSIL histology re-referral: HPV 16/18 or HPV other with suspicion or definite cancer",Colposcopy booking-priority guide,"After previous LSIL histology, HPV 16/18 or HPV other with suspicion or definite cancer appears to be a 10-day pathway.","Previous LSIL histology context, HPV group, cytology result","10 days",,,"Yes",,
COLPOSCOPY,COLP-29,"Previous LSIL histology re-referral: HPV 16/18 or HPV other with ASC-H, HSIL, AIS, or glandular",Colposcopy booking-priority guide,"After previous LSIL histology, HPV 16/18 or HPV other with ASC-H, HSIL, AIS, or glandular appears to be a 30-day pathway.","Previous LSIL histology context, HPV group, cytology result","30 days",,,"Yes",,
COLPOSCOPY,COLP-30,"Previous LSIL histology re-referral: HPV 16/18 with no cytology",Colposcopy booking-priority guide,"After previous LSIL histology, HPV 16/18 with no cytology appears to be a 3-month pathway.","Previous LSIL histology context, HPV group, cytology availability","3 months",,,"Yes",,
COLPOSCOPY,COLP-31,"Previous LSIL histology re-referral: HPV 16/18 with normal or ASCUS/LSIL cytology",Colposcopy booking-priority guide,"After previous LSIL histology, HPV 16/18 with normal or ASCUS/LSIL cytology appears to be a 6-month pathway.","Previous LSIL histology context, HPV group, cytology result","6 months",,,"Yes",,
COLPOSCOPY,COLP-32,"Previous LSIL histology re-referral: immune-deficient HPV other with no cytology or normal, ASCUS, LSIL",Colposcopy booking-priority guide,"After previous LSIL histology, immune-deficient HPV other with no cytology or low-grade/normal cytology appears to be a 6-month pathway.","Previous LSIL histology context, immune status, HPV group, cytology","6 months",,,"Yes",,
COLPOSCOPY,COLP-33,"Previous LSIL histology re-referral: HPV other with normal or ASCUS/LSIL x2",Colposcopy booking-priority guide,"After previous LSIL histology, HPV other with normal or ASCUS/LSIL x2 appears to be a 6-month pathway.","Previous LSIL histology context, HPV group, repeat count, cytology result","6 months",,,"Yes",,
COLPOSCOPY,COLP-34,"Previous LSIL histology re-referral: HPV other with no cytology x2",Colposcopy booking-priority guide,"After previous LSIL histology, HPV other with no cytology x2 appears to be a 6-month pathway.","Previous LSIL histology context, HPV group, repeat count, cytology availability","6 months",,,"Yes",,
