caseId,figureOrTable,page,recommendationNumbers,expectedActionClass,productionExecutable,productionActionClass,productionCode,productionRisk,productionSafetyOutcome,currentLegacyExecutable,currentLegacyActionClass,currentLegacyCode,canonicalActionClasses,canonicalRecommendation,canonicalTiming,canonicalDestination,canonicalReviewerRequirement,canonicalClinicianOnly,canonicalMatchedRule,productionMatchesSource,currentLegacyMatchesSource,canonicalMatchesSource,classification,flags
F3-HPV-OTHER-SWAB-RETURN-FOR-LBC,Figure 3,24,R4.02-R4.04,RETURN_FOR_LBC,true,RETURN_FOR_LBC,F3-SWAB-RETURN-REQUIRED,MEDIUM,,true,RETURN_FOR_LBC,F3-SWAB-RETURN-REQUIRED,RETURN_FOR_LBC,Return visit for clinical examination and clinician-taken LBC for cytology,As soon as practicable for triage,Reviewer-confirmed pathway,CLINICIAN_REVIEW,false,F3-04,true,true,true,THREE_WAY_EXACT_AGREEMENT,
F3-BASELINE-HPV-OTHER-NEGATIVE-REPEAT-12M,Figure 3,24,R4.04-R4.06,REPEAT_HPV,true,UNMAPPED_ACTUAL:F3-HPV-OTHER-NEG-ASCUS-LSIL-12M,F3-HPV-OTHER-NEG-ASCUS-LSIL-12M,MEDIUM,,true,UNMAPPED_ACTUAL:F3-HPV-OTHER-NEG-ASCUS-LSIL-12M,F3-HPV-OTHER-NEG-ASCUS-LSIL-12M,REPEAT_HPV,"Repeat HPV test in 12 months, using LBC",12 months,Primary/community care or programme follow-up,CLINICIAN_REVIEW,true,F3-07,false,false,true,CANDIDATE_FIXES_CONFIRMED_LEGACY_DEFECT,CONFIRMED_LEGACY_DEFECT_PRESENT_IN_PRODUCTION | GOV04_CLINICIAN_ONLY_OVERRESTRICTION_SECONDARY
F3-BASELINE-HPV-OTHER-ASC-US-REPEAT-12M,Figure 3,24,R4.04-R4.06,REPEAT_HPV,true,UNMAPPED_ACTUAL:F3-HPV-OTHER-NEG-ASCUS-LSIL-12M,F3-HPV-OTHER-NEG-ASCUS-LSIL-12M,MEDIUM,,true,UNMAPPED_ACTUAL:F3-HPV-OTHER-NEG-ASCUS-LSIL-12M,F3-HPV-OTHER-NEG-ASCUS-LSIL-12M,REPEAT_HPV,"Repeat HPV test in 12 months, using LBC",12 months,Primary/community care or programme follow-up,CLINICIAN_REVIEW,true,F3-07,false,false,true,CANDIDATE_FIXES_CONFIRMED_LEGACY_DEFECT,CONFIRMED_LEGACY_DEFECT_PRESENT_IN_PRODUCTION | GOV04_CLINICIAN_ONLY_OVERRESTRICTION_SECONDARY
F3-BASELINE-HPV-OTHER-LSIL-REPEAT-12M,Figure 3,24,R4.04-R4.06,REPEAT_HPV,true,UNMAPPED_ACTUAL:F3-HPV-OTHER-NEG-ASCUS-LSIL-12M,F3-HPV-OTHER-NEG-ASCUS-LSIL-12M,MEDIUM,,true,UNMAPPED_ACTUAL:F3-HPV-OTHER-NEG-ASCUS-LSIL-12M,F3-HPV-OTHER-NEG-ASCUS-LSIL-12M,REPEAT_HPV,"Repeat HPV test in 12 months, using LBC",12 months,Primary/community care or programme follow-up,CLINICIAN_REVIEW,true,F3-07,false,false,true,CANDIDATE_FIXES_CONFIRMED_LEGACY_DEFECT,CONFIRMED_LEGACY_DEFECT_PRESENT_IN_PRODUCTION | GOV04_CLINICIAN_ONLY_OVERRESTRICTION_SECONDARY
F3-BASELINE-HPV-OTHER-ASC-H-COLPOSCOPY,Figure 3,24,R4.05 | R4.08-R4.12,COLPOSCOPY,true,COLPOSCOPY,F3-HPV-OTHER-HIGH-GRADE-COLP,HIGH,,true,COLPOSCOPY,F3-HPV-OTHER-HIGH-GRADE-COLP,COLPOSCOPY,Refer to colposcopy.,According to the colposcopy referral risk category,Colposcopy service,CLINICIAN_REVIEW,false,F3-05,true,true,true,THREE_WAY_EXACT_AGREEMENT,
F3-BASELINE-HPV-OTHER-HSIL-COLPOSCOPY,Figure 3,24,R4.05 | R4.08-R4.12,COLPOSCOPY,true,COLPOSCOPY,F3-HPV-OTHER-HIGH-GRADE-COLP,HIGH,,true,COLPOSCOPY,F3-HPV-OTHER-HIGH-GRADE-COLP,COLPOSCOPY,Refer to colposcopy.,According to the colposcopy referral risk category,Colposcopy service,CLINICIAN_REVIEW,false,F3-05,true,true,true,THREE_WAY_EXACT_AGREEMENT,
F3-BASELINE-HPV-OTHER-SCC-COLPOSCOPY,Figure 3,24,R4.05 | R4.08-R4.12,COLPOSCOPY,true,COLPOSCOPY,F3-HPV-OTHER-HIGH-GRADE-COLP,HIGH,,true,COLPOSCOPY,F3-HPV-OTHER-HIGH-GRADE-COLP,COLPOSCOPY,Urgent colposcopic assessment within two weeks. This overrides ordinary HPV Other repeat logic.,Urgent; within 2 weeks,Urgent colposcopy,SPECIALIST_REVIEW,false,F3-20,true,true,true,THREE_WAY_EXACT_AGREEMENT,
F3-BASELINE-HPV-OTHER-ATYPICAL-GLANDULAR-COLPOSCOPY,Figure 3,24,R4.05 | R4.08-R4.12,GLANDULAR_SPECIALIST_ROUTE,true,COLPOSCOPY,F3-HPV-OTHER-HIGH-GRADE-COLP,HIGH,,true,COLPOSCOPY,F3-HPV-OTHER-HIGH-GRADE-COLP,URGENT_GYNAECOLOGY | GYNAECOLOGY | COLPOSCOPY,Refer to colposcopy or the applicable glandular specialist pathway.,Urgent where invasive glandular disease is suspected or definite,Colposcopy or specialist gynaecology,SPECIALIST_REVIEW,true,F3-05,true,true,true,THREE_WAY_EXACT_AGREEMENT,
F3-BASELINE-HPV-OTHER-AIS-COLPOSCOPY,Figure 3,24,R4.05 | R4.08-R4.12,COLPOSCOPY,true,COLPOSCOPY,F3-HPV-OTHER-HIGH-GRADE-COLP,HIGH,,true,COLPOSCOPY,F3-HPV-OTHER-HIGH-GRADE-COLP,COLPOSCOPY,Refer to colposcopy under the AIS pathway.,Referral,Colposcopy service,CLINICIAN_REVIEW,false,F3-05,true,true,true,THREE_WAY_EXACT_AGREEMENT,
F3-BASELINE-HPV-OTHER-ADENOCARCINOMA-COLPOSCOPY,Figure 3,24,R4.05 | R4.08-R4.12,GLANDULAR_SPECIALIST_ROUTE,true,COLPOSCOPY,F3-HPV-OTHER-HIGH-GRADE-COLP,HIGH,,true,COLPOSCOPY,F3-HPV-OTHER-HIGH-GRADE-COLP,URGENT_GYNAECOLOGY | GYNAECOLOGY | COLPOSCOPY,Refer to colposcopy or the applicable glandular specialist pathway.,Urgent where invasive glandular disease is suspected or definite,Colposcopy or specialist gynaecology,SPECIALIST_REVIEW,true,F3-05,true,true,true,THREE_WAY_EXACT_AGREEMENT,
F3-FIRST-REPEAT-HPV-OTHER-NEGATIVE-UNDER50-SECOND-REPEAT,Figure 3,24,R4.04-R4.06,SECOND_REPEAT_HPV,true,SECOND_REPEAT_HPV,F3-FIRST-REPEAT-UNDER50-SECOND-REPEAT,MEDIUM,,true,SECOND_REPEAT_HPV,F3-FIRST-REPEAT-UNDER50-SECOND-REPEAT,REPEAT_HPV | SECOND_REPEAT_HPV,"Second repeat HPV test in another 12 months, using LBC",12 months later,Primary/community care or programme follow-up,CLINICIAN_REVIEW,true,F3-12,true,true,true,THREE_WAY_EXACT_AGREEMENT,GOV04_CLINICIAN_ONLY_OVERRESTRICTION_SECONDARY
F3-FIRST-REPEAT-HPV-OTHER-NEGATIVE-AGE50PLUS-COLPOSCOPY,Figure 3,24,R4.04-R4.06,COLPOSCOPY,true,COLPOSCOPY,F3-FIRST-REPEAT-AGE50-COLP,HIGH,,true,COLPOSCOPY,F3-FIRST-REPEAT-AGE50-COLP,COLPOSCOPY,Refer to colposcopy,After second test event,Colposcopy service,CLINICIAN_REVIEW,true,F3-11,true,true,true,THREE_WAY_EXACT_AGREEMENT,GOV04_CLINICIAN_ONLY_OVERRESTRICTION_SECONDARY
F3-FIRST-REPEAT-HPV-OTHER-ASC-US-UNDER50-SECOND-REPEAT,Figure 3,24,R4.04-R4.06,SECOND_REPEAT_HPV,true,SECOND_REPEAT_HPV,F3-FIRST-REPEAT-UNDER50-SECOND-REPEAT,MEDIUM,,true,SECOND_REPEAT_HPV,F3-FIRST-REPEAT-UNDER50-SECOND-REPEAT,REPEAT_HPV | SECOND_REPEAT_HPV,"Second repeat HPV test in another 12 months, using LBC",12 months later,Primary/community care or programme follow-up,CLINICIAN_REVIEW,true,F3-12,true,true,true,THREE_WAY_EXACT_AGREEMENT,GOV04_CLINICIAN_ONLY_OVERRESTRICTION_SECONDARY
F3-FIRST-REPEAT-HPV-OTHER-ASC-US-AGE50PLUS-COLPOSCOPY,Figure 3,24,R4.04-R4.06,COLPOSCOPY,true,COLPOSCOPY,F3-FIRST-REPEAT-AGE50-COLP,HIGH,,true,COLPOSCOPY,F3-FIRST-REPEAT-AGE50-COLP,COLPOSCOPY,Refer to colposcopy,After second test event,Colposcopy service,CLINICIAN_REVIEW,true,F3-11,true,true,true,THREE_WAY_EXACT_AGREEMENT,GOV04_CLINICIAN_ONLY_OVERRESTRICTION_SECONDARY
F3-FIRST-REPEAT-HPV-OTHER-LSIL-UNDER50-SECOND-REPEAT,Figure 3,24,R4.04-R4.06,SECOND_REPEAT_HPV,true,SECOND_REPEAT_HPV,F3-FIRST-REPEAT-UNDER50-SECOND-REPEAT,MEDIUM,,true,SECOND_REPEAT_HPV,F3-FIRST-REPEAT-UNDER50-SECOND-REPEAT,REPEAT_HPV | SECOND_REPEAT_HPV,"Second repeat HPV test in another 12 months, using LBC",12 months later,Primary/community care or programme follow-up,CLINICIAN_REVIEW,true,F3-12,true,true,true,THREE_WAY_EXACT_AGREEMENT,GOV04_CLINICIAN_ONLY_OVERRESTRICTION_SECONDARY
F3-FIRST-REPEAT-HPV-OTHER-LSIL-AGE50PLUS-COLPOSCOPY,Figure 3,24,R4.04-R4.06,COLPOSCOPY,true,COLPOSCOPY,F3-FIRST-REPEAT-AGE50-COLP,HIGH,,true,COLPOSCOPY,F3-FIRST-REPEAT-AGE50-COLP,COLPOSCOPY,Refer to colposcopy,After second test event,Colposcopy service,CLINICIAN_REVIEW,true,F3-11,true,true,true,THREE_WAY_EXACT_AGREEMENT,GOV04_CLINICIAN_ONLY_OVERRESTRICTION_SECONDARY
F3-FIRST-REPEAT-HPV-OTHER-ASC-H-COLPOSCOPY,Figure 3,24,R4.05 | R4.08-R4.12,COLPOSCOPY,true,COLPOSCOPY,F3-HPV-OTHER-HIGH-GRADE-COLP,HIGH,,true,COLPOSCOPY,F3-HPV-OTHER-HIGH-GRADE-COLP,COLPOSCOPY,Refer to colposcopy.,Referral,Colposcopy service,CLINICIAN_REVIEW,false,F3-10,true,true,true,THREE_WAY_EXACT_AGREEMENT,
F3-FIRST-REPEAT-HPV-OTHER-HSIL-COLPOSCOPY,Figure 3,24,R4.05 | R4.08-R4.12,COLPOSCOPY,true,COLPOSCOPY,F3-HPV-OTHER-HIGH-GRADE-COLP,HIGH,,true,COLPOSCOPY,F3-HPV-OTHER-HIGH-GRADE-COLP,COLPOSCOPY,Refer to colposcopy.,Referral,Colposcopy service,CLINICIAN_REVIEW,false,F3-10,true,true,true,THREE_WAY_EXACT_AGREEMENT,
F3-FIRST-REPEAT-HPV-OTHER-SCC-COLPOSCOPY,Figure 3,24,R4.05 | R4.08-R4.12,COLPOSCOPY,true,COLPOSCOPY,F3-HPV-OTHER-HIGH-GRADE-COLP,HIGH,,true,COLPOSCOPY,F3-HPV-OTHER-HIGH-GRADE-COLP,COLPOSCOPY,Urgent colposcopic assessment within two weeks. This overrides ordinary HPV Other repeat logic.,Urgent; within 2 weeks,Urgent colposcopy,SPECIALIST_REVIEW,false,F3-20,true,true,true,THREE_WAY_EXACT_AGREEMENT,
F3-FIRST-REPEAT-HPV-OTHER-ATYPICAL-GLANDULAR-COLPOSCOPY,Figure 3,24,R4.05 | R4.08-R4.12,GLANDULAR_SPECIALIST_ROUTE,true,COLPOSCOPY,F3-HPV-OTHER-HIGH-GRADE-COLP,HIGH,,true,COLPOSCOPY,F3-HPV-OTHER-HIGH-GRADE-COLP,URGENT_GYNAECOLOGY | GYNAECOLOGY | COLPOSCOPY,Refer to colposcopy/specialist pathway.,Urgent where invasive glandular disease is suspected,Colposcopy or specialist gynaecology,SPECIALIST_REVIEW,true,F3-10,true,true,true,THREE_WAY_EXACT_AGREEMENT,
F3-FIRST-REPEAT-HPV-OTHER-AIS-COLPOSCOPY,Figure 3,24,R4.05 | R4.08-R4.12,COLPOSCOPY,true,COLPOSCOPY,F3-HPV-OTHER-HIGH-GRADE-COLP,HIGH,,true,COLPOSCOPY,F3-HPV-OTHER-HIGH-GRADE-COLP,COLPOSCOPY,Refer to colposcopy under the AIS pathway.,Referral,Colposcopy service,CLINICIAN_REVIEW,false,F3-10,true,true,true,THREE_WAY_EXACT_AGREEMENT,
F3-FIRST-REPEAT-HPV-OTHER-ADENOCARCINOMA-COLPOSCOPY,Figure 3,24,R4.05 | R4.08-R4.12,GLANDULAR_SPECIALIST_ROUTE,true,COLPOSCOPY,F3-HPV-OTHER-HIGH-GRADE-COLP,HIGH,,true,COLPOSCOPY,F3-HPV-OTHER-HIGH-GRADE-COLP,URGENT_GYNAECOLOGY | GYNAECOLOGY | COLPOSCOPY,Refer to colposcopy/specialist pathway.,Urgent where invasive glandular disease is suspected,Colposcopy or specialist gynaecology,SPECIALIST_REVIEW,true,F3-10,true,true,true,THREE_WAY_EXACT_AGREEMENT,
