domain,fact_name,status_convention,provenance_required,description
sampleValidity,sampleType,KNOWN / UNKNOWN / NOT_RECORDED / NOT_APPLICABLE / PENDING / CONFLICTING,yes,Canonical sampleValidity fact; use an allowed source and never infer an absent value.
cin2Surveillance,ageYears,KNOWN / UNKNOWN / NOT_RECORDED / NOT_APPLICABLE / PENDING / CONFLICTING,yes,Canonical cin2Surveillance fact; use an allowed source and never infer an absent value.
cin2Surveillance,biopsyResult,KNOWN / UNKNOWN / NOT_RECORDED / NOT_APPLICABLE / PENDING / CONFLICTING,yes,Canonical cin2Surveillance fact; use an allowed source and never infer an absent value.
cin2Surveillance,cin3Excluded,KNOWN / UNKNOWN / NOT_RECORDED / NOT_APPLICABLE / PENDING / CONFLICTING,yes,Canonical cin2Surveillance fact; use an allowed source and never infer an absent value.
cin2Surveillance,cin2SurveillanceEligible,KNOWN / UNKNOWN / NOT_RECORDED / NOT_APPLICABLE / PENDING / CONFLICTING,yes,Canonical cin2Surveillance fact; use an allowed source and never infer an absent value.
cin2Surveillance,fertilityContextDocumented,KNOWN / UNKNOWN / NOT_RECORDED / NOT_APPLICABLE / PENDING / CONFLICTING,yes,Canonical cin2Surveillance fact; use an allowed source and never infer an absent value.
cin2Surveillance,sharedDecisionRequired,KNOWN / UNKNOWN / NOT_RECORDED / NOT_APPLICABLE / PENDING / CONFLICTING,yes,Canonical cin2Surveillance fact; use an allowed source and never infer an absent value.
cin2Surveillance,participantTreatmentPreference,KNOWN / UNKNOWN / NOT_RECORDED / NOT_APPLICABLE / PENDING / CONFLICTING,yes,Canonical cin2Surveillance fact; use an allowed source and never infer an absent value.
cin2Surveillance,cin2ActiveSurveillance,KNOWN / UNKNOWN / NOT_RECORDED / NOT_APPLICABLE / PENDING / CONFLICTING,yes,Canonical cin2Surveillance fact; use an allowed source and never infer an absent value.
cin2Surveillance,surveillanceStartDate,KNOWN / UNKNOWN / NOT_RECORDED / NOT_APPLICABLE / PENDING / CONFLICTING,yes,Canonical cin2Surveillance fact; use an allowed source and never infer an absent value.
cin2Surveillance,followUpEventCount,KNOWN / UNKNOWN / NOT_RECORDED / NOT_APPLICABLE / PENDING / CONFLICTING,yes,Canonical cin2Surveillance fact; use an allowed source and never infer an absent value.
cin2Surveillance,surveillanceDurationMonths,KNOWN / UNKNOWN / NOT_RECORDED / NOT_APPLICABLE / PENDING / CONFLICTING,yes,Canonical cin2Surveillance fact; use an allowed source and never infer an absent value.
cin2Surveillance,currentHistology,KNOWN / UNKNOWN / NOT_RECORDED / NOT_APPLICABLE / PENDING / CONFLICTING,yes,Canonical cin2Surveillance fact; use an allowed source and never infer an absent value.
cin2Surveillance,cytologyResult,KNOWN / UNKNOWN / NOT_RECORDED / NOT_APPLICABLE / PENDING / CONFLICTING,yes,Canonical cin2Surveillance fact; use an allowed source and never infer an absent value.
cin2Surveillance,hpvResult,KNOWN / UNKNOWN / NOT_RECORDED / NOT_APPLICABLE / PENDING / CONFLICTING,yes,Canonical cin2Surveillance fact; use an allowed source and never infer an absent value.
cin2Surveillance,colposcopicImpression,KNOWN / UNKNOWN / NOT_RECORDED / NOT_APPLICABLE / PENDING / CONFLICTING,yes,Canonical cin2Surveillance fact; use an allowed source and never infer an absent value.
cin2Surveillance,visibleLesion,KNOWN / UNKNOWN / NOT_RECORDED / NOT_APPLICABLE / PENDING / CONFLICTING,yes,Canonical cin2Surveillance fact; use an allowed source and never infer an absent value.
cin2Surveillance,followUpMdmReviewDue,KNOWN / UNKNOWN / NOT_RECORDED / NOT_APPLICABLE / PENDING / CONFLICTING,yes,Canonical cin2Surveillance fact; use an allowed source and never infer an absent value.
cin2Surveillance,cin2RegressionConfirmed,KNOWN / UNKNOWN / NOT_RECORDED / NOT_APPLICABLE / PENDING / CONFLICTING,yes,Canonical cin2Surveillance fact; use an allowed source and never infer an absent value.
hsilTreatment,treatedHistology,KNOWN / UNKNOWN / NOT_RECORDED / NOT_APPLICABLE / PENDING / CONFLICTING,yes,Canonical hsilTreatment fact; use an allowed source and never infer an absent value.
hsilTreatment,treatmentModality,KNOWN / UNKNOWN / NOT_RECORDED / NOT_APPLICABLE / PENDING / CONFLICTING,yes,Canonical hsilTreatment fact; use an allowed source and never infer an absent value.
hsilTreatment,treatmentDate,KNOWN / UNKNOWN / NOT_RECORDED / NOT_APPLICABLE / PENDING / CONFLICTING,yes,Canonical hsilTreatment fact; use an allowed source and never infer an absent value.
hsilTreatment,marginApplicability,KNOWN / UNKNOWN / NOT_RECORDED / NOT_APPLICABLE / PENDING / CONFLICTING,yes,Canonical hsilTreatment fact; use an allowed source and never infer an absent value.
hsilTreatment,marginStatus,KNOWN / UNKNOWN / NOT_RECORDED / NOT_APPLICABLE / PENDING / CONFLICTING,yes,Canonical hsilTreatment fact; use an allowed source and never infer an absent value.
hsilTreatment,ageYears,KNOWN / UNKNOWN / NOT_RECORDED / NOT_APPLICABLE / PENDING / CONFLICTING,yes,Canonical hsilTreatment fact; use an allowed source and never infer an absent value.
hsilTreatment,careSetting,KNOWN / UNKNOWN / NOT_RECORDED / NOT_APPLICABLE / PENDING / CONFLICTING,yes,Canonical hsilTreatment fact; use an allowed source and never infer an absent value.
hsilTreatment,tocEventSequence,KNOWN / UNKNOWN / NOT_RECORDED / NOT_APPLICABLE / PENDING / CONFLICTING,yes,Canonical hsilTreatment fact; use an allowed source and never infer an absent value.
ais,preTreatmentHpvStatus,KNOWN / UNKNOWN / NOT_RECORDED / NOT_APPLICABLE / PENDING / CONFLICTING,yes,Canonical ais fact; use an allowed source and never infer an absent value.
ais,preTreatmentHpvGenotype,KNOWN / UNKNOWN / NOT_RECORDED / NOT_APPLICABLE / PENDING / CONFLICTING,yes,Canonical ais fact; use an allowed source and never infer an absent value.
ais,histologyResult,KNOWN / UNKNOWN / NOT_RECORDED / NOT_APPLICABLE / PENDING / CONFLICTING,yes,Canonical ais fact; use an allowed source and never infer an absent value.
ais,treatmentDate,KNOWN / UNKNOWN / NOT_RECORDED / NOT_APPLICABLE / PENDING / CONFLICTING,yes,Canonical ais fact; use an allowed source and never infer an absent value.
ais,treatmentModality,KNOWN / UNKNOWN / NOT_RECORDED / NOT_APPLICABLE / PENDING / CONFLICTING,yes,Canonical ais fact; use an allowed source and never infer an absent value.
ais,marginStatus,KNOWN / UNKNOWN / NOT_RECORDED / NOT_APPLICABLE / PENDING / CONFLICTING,yes,Canonical ais fact; use an allowed source and never infer an absent value.
ais,cervixPresent,KNOWN / UNKNOWN / NOT_RECORDED / NOT_APPLICABLE / PENDING / CONFLICTING,yes,Canonical ais fact; use an allowed source and never infer an absent value.
ais,hysterectomyType,KNOWN / UNKNOWN / NOT_RECORDED / NOT_APPLICABLE / PENDING / CONFLICTING,yes,Canonical ais fact; use an allowed source and never infer an absent value.
ais,sixMonthHpvResult,KNOWN / UNKNOWN / NOT_RECORDED / NOT_APPLICABLE / PENDING / CONFLICTING,yes,Canonical ais fact; use an allowed source and never infer an absent value.
ais,sixMonthCytologyResult,KNOWN / UNKNOWN / NOT_RECORDED / NOT_APPLICABLE / PENDING / CONFLICTING,yes,Canonical ais fact; use an allowed source and never infer an absent value.
ais,eighteenMonthHpvResult,KNOWN / UNKNOWN / NOT_RECORDED / NOT_APPLICABLE / PENDING / CONFLICTING,yes,Canonical ais fact; use an allowed source and never infer an absent value.
ais,eighteenMonthCytologyResult,KNOWN / UNKNOWN / NOT_RECORDED / NOT_APPLICABLE / PENDING / CONFLICTING,yes,Canonical ais fact; use an allowed source and never infer an absent value.
ais,followUpSetting,KNOWN / UNKNOWN / NOT_RECORDED / NOT_APPLICABLE / PENDING / CONFLICTING,yes,Canonical ais fact; use an allowed source and never infer an absent value.
ais,oncologyReferralStatus,KNOWN / UNKNOWN / NOT_RECORDED / NOT_APPLICABLE / PENDING / CONFLICTING,yes,Canonical ais fact; use an allowed source and never infer an absent value.
ais,invasionStatus,KNOWN / UNKNOWN / NOT_RECORDED / NOT_APPLICABLE / PENDING / CONFLICTING,yes,Canonical ais fact; use an allowed source and never infer an absent value.
cancerHistory,cancerType,KNOWN / UNKNOWN / NOT_RECORDED / NOT_APPLICABLE / PENDING / CONFLICTING,yes,Canonical cancerHistory fact; use an allowed source and never infer an absent value.
cancerHistory,gynaecologicalCancerType,KNOWN / UNKNOWN / NOT_RECORDED / NOT_APPLICABLE / PENDING / CONFLICTING,yes,Canonical cancerHistory fact; use an allowed source and never infer an absent value.
cancerHistory,cancerStage,KNOWN / UNKNOWN / NOT_RECORDED / NOT_APPLICABLE / PENDING / CONFLICTING,yes,Canonical cancerHistory fact; use an allowed source and never infer an absent value.
cancerHistory,cancerTreatment,KNOWN / UNKNOWN / NOT_RECORDED / NOT_APPLICABLE / PENDING / CONFLICTING,yes,Canonical cancerHistory fact; use an allowed source and never infer an absent value.
cancerHistory,treatmentConfirmed,KNOWN / UNKNOWN / NOT_RECORDED / NOT_APPLICABLE / PENDING / CONFLICTING,yes,Canonical cancerHistory fact; use an allowed source and never infer an absent value.
cancerHistory,ncspApplicability,KNOWN / UNKNOWN / NOT_RECORDED / NOT_APPLICABLE / PENDING / CONFLICTING,yes,Canonical cancerHistory fact; use an allowed source and never infer an absent value.
cancerHistory,tocStatus,KNOWN / UNKNOWN / NOT_RECORDED / NOT_APPLICABLE / PENDING / CONFLICTING,yes,Canonical cancerHistory fact; use an allowed source and never infer an absent value.
cancerHistory,cancerFollowUpPhase,KNOWN / UNKNOWN / NOT_RECORDED / NOT_APPLICABLE / PENDING / CONFLICTING,yes,Canonical cancerHistory fact; use an allowed source and never infer an absent value.
cancerHistory,tocEventSequence,KNOWN / UNKNOWN / NOT_RECORDED / NOT_APPLICABLE / PENDING / CONFLICTING,yes,Canonical cancerHistory fact; use an allowed source and never infer an absent value.
cancerHistory,currentClinicianFollowUpPlan,KNOWN / UNKNOWN / NOT_RECORDED / NOT_APPLICABLE / PENDING / CONFLICTING,yes,Canonical cancerHistory fact; use an allowed source and never infer an absent value.
abnormalBleeding,bleedingType,KNOWN / UNKNOWN / NOT_RECORDED / NOT_APPLICABLE / PENDING / CONFLICTING,yes,Canonical abnormalBleeding fact; use an allowed source and never infer an absent value.
abnormalBleeding,menopausalStatus,KNOWN / UNKNOWN / NOT_RECORDED / NOT_APPLICABLE / PENDING / CONFLICTING,yes,Canonical abnormalBleeding fact; use an allowed source and never infer an absent value.
abnormalBleeding,bleedingEpisodeCount,KNOWN / UNKNOWN / NOT_RECORDED / NOT_APPLICABLE / PENDING / CONFLICTING,yes,Canonical abnormalBleeding fact; use an allowed source and never infer an absent value.
abnormalBleeding,bleedingEpisodeState,KNOWN / UNKNOWN / NOT_RECORDED / NOT_APPLICABLE / PENDING / CONFLICTING,yes,Canonical abnormalBleeding fact; use an allowed source and never infer an absent value.
abnormalBleeding,bleedingDurationDays,KNOWN / UNKNOWN / NOT_RECORDED / NOT_APPLICABLE / PENDING / CONFLICTING,yes,Canonical abnormalBleeding fact; use an allowed source and never infer an absent value.
abnormalBleeding,abnormalCervix,KNOWN / UNKNOWN / NOT_RECORDED / NOT_APPLICABLE / PENDING / CONFLICTING,yes,Canonical abnormalBleeding fact; use an allowed source and never infer an absent value.
abnormalBleeding,suspicionOfCancer,KNOWN / UNKNOWN / NOT_RECORDED / NOT_APPLICABLE / PENDING / CONFLICTING,yes,Canonical abnormalBleeding fact; use an allowed source and never infer an absent value.
abnormalBleeding,speculumExamStatus,KNOWN / UNKNOWN / NOT_RECORDED / NOT_APPLICABLE / PENDING / CONFLICTING,yes,Canonical abnormalBleeding fact; use an allowed source and never infer an absent value.
abnormalBleeding,pelvicExamStatus,KNOWN / UNKNOWN / NOT_RECORDED / NOT_APPLICABLE / PENDING / CONFLICTING,yes,Canonical abnormalBleeding fact; use an allowed source and never infer an absent value.
abnormalBleeding,coTestStatus,KNOWN / UNKNOWN / NOT_RECORDED / NOT_APPLICABLE / PENDING / CONFLICTING,yes,Canonical abnormalBleeding fact; use an allowed source and never infer an absent value.
abnormalBleeding,stiAssessmentComplete,KNOWN / UNKNOWN / NOT_RECORDED / NOT_APPLICABLE / PENDING / CONFLICTING,yes,Canonical abnormalBleeding fact; use an allowed source and never infer an absent value.
abnormalBleeding,stiIdentified,KNOWN / UNKNOWN / NOT_RECORDED / NOT_APPLICABLE / PENDING / CONFLICTING,yes,Canonical abnormalBleeding fact; use an allowed source and never infer an absent value.
abnormalBleeding,suspectOralContraceptiveProblem,KNOWN / UNKNOWN / NOT_RECORDED / NOT_APPLICABLE / PENDING / CONFLICTING,yes,Canonical abnormalBleeding fact; use an allowed source and never infer an absent value.
abnormalBleeding,localTreatmentStatus,KNOWN / UNKNOWN / NOT_RECORDED / NOT_APPLICABLE / PENDING / CONFLICTING,yes,Canonical abnormalBleeding fact; use an allowed source and never infer an absent value.
abnormalBleeding,bleedingReviewDate,KNOWN / UNKNOWN / NOT_RECORDED / NOT_APPLICABLE / PENDING / CONFLICTING,yes,Canonical abnormalBleeding fact; use an allowed source and never infer an absent value.
abnormalBleeding,bleedingResolved,KNOWN / UNKNOWN / NOT_RECORDED / NOT_APPLICABLE / PENDING / CONFLICTING,yes,Canonical abnormalBleeding fact; use an allowed source and never infer an absent value.
abnormalBleeding,isPregnant,KNOWN / UNKNOWN / NOT_RECORDED / NOT_APPLICABLE / PENDING / CONFLICTING,yes,Canonical abnormalBleeding fact; use an allowed source and never infer an absent value.
abnormalBleeding,hysterectomyType,KNOWN / UNKNOWN / NOT_RECORDED / NOT_APPLICABLE / PENDING / CONFLICTING,yes,Canonical abnormalBleeding fact; use an allowed source and never infer an absent value.
